SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
App,-1.960487352,-0.971212334,2.34062E-10,4.28333E-08,11.83430901,-6.564645194,13.19454248
Ppp3ca,-1.793853056,-0.843061716,2.53604E-09,2.32048E-07,11.65186684,-6.148256724,10.93324983
Celf2,-1.849170701,-0.886878409,7.59683E-09,4.63407E-07,11.66692117,-5.949545193,9.892792022
Atp2b1,-1.785118041,-0.836019476,1.22882E-08,5.62185E-07,11.68335278,-5.860891833,9.437261125
Bcan,1.914194608,0.93673751,1.79549E-08,5.6895E-07,11.49644229,5.79027701,9.076714393
Chn1,-1.714894402,-0.778119742,1.86541E-08,5.6895E-07,11.6205783,-5.783128338,9.041564744
Cst3,2.431654426,1.281938215,7.81337E-08,1.85707E-06,13.46126822,5.510114863,7.696455257
Atp1b1,-1.813056793,-0.858424117,8.49187E-08,1.85707E-06,12.16391306,-5.493929869,7.615531517
Syt1,-2.038993138,-1.02785692,9.13314E-08,1.85707E-06,12.46782778,-5.479750644,7.549059719
Luzp2,1.987763625,0.991146209,1.06784E-07,1.95414E-06,11.86690871,5.449212307,7.396736558
Slc1a3,2.049253969,1.035098792,5.13504E-07,7.88382E-06,12.25936207,5.134775967,5.925093661
Snap25,-1.789656172,-0.839682444,5.33689E-07,7.88382E-06,12.04978113,-5.126870936,5.885280092
Hsp90aa1,-1.628630903,-0.703659683,5.60053E-07,7.88382E-06,11.72268682,-5.116971584,5.832801489
Rtn1,-1.762439131,-0.817573432,1.57874E-06,2.00612E-05,12.05799635,-4.900485999,4.869169302
Fth1,-1.685549159,-0.753218704,1.64436E-06,2.00612E-05,12.03054775,-4.891826681,4.830936277
Camk2n1,-1.762287114,-0.817448989,2.45601E-06,2.80907E-05,12.20135784,-4.805877976,4.461541982
Hsp90ab1,-1.682050507,-0.750221026,3.11182E-06,3.34979E-05,12.27882162,-4.7546064,4.244016929
Atp1a2,2.027243731,1.019519551,3.42566E-06,3.48276E-05,12.46789705,4.733666335,4.155961784
Tcf4,-1.61281885,-0.689584405,3.74924E-06,3.54541E-05,12.01940224,-4.713929907,4.06040396
Pcsk1n,-1.687749306,-0.755100626,3.87477E-06,3.54541E-05,11.96399372,-4.706712428,4.027117997
Apoe,2.05662111,1.040276032,4.17632E-06,3.63936E-05,12.62693698,4.690255307,3.974879355
Dlgap1,-1.598581493,-0.676792292,5.30938E-06,4.41644E-05,11.70312566,-4.637234674,3.723881902
Ptprz1,1.784288503,0.835348904,7.96455E-06,6.33701E-05,11.95639645,4.54655963,3.358149024
Hspa8,-1.541635354,-0.624461563,1.00296E-05,7.64754E-05,12.06429582,-4.494369797,3.146826543
Ntsr2,1.704068787,0.768983573,1.10194E-05,8.06617E-05,11.8198295,4.47292478,3.050146805
AC149090.1,-1.567345776,-0.648323491,1.59486E-05,0.000112253,11.46707597,-4.387881536,2.686815391
Pkm,-1.420644335,-0.506545414,1.6685E-05,0.000113087,11.33538215,-4.377408732,2.634738273
Grin2b,-1.482305305,-0.567842625,2.13919E-05,0.000139811,11.43545921,-4.319393814,2.40934783
Sat1,1.562678482,0.644020977,2.47993E-05,0.000155944,11.39681211,4.284591365,2.266896449
Camk2a,-1.640719583,-0.714328688,2.55646E-05,0.000155944,11.93495248,-4.277407261,2.27025157
Rtn3,-1.527673928,-0.611336643,2.77713E-05,0.00016394,12.02590464,-4.257787972,2.200014515
Acsl3,1.578202788,0.658282593,3.06981E-05,0.000175555,12.22875677,4.233946811,2.118946066
Htra1,1.591490039,0.670378128,3.93759E-05,0.000218357,11.4405561,4.174243579,1.8427287
Dtna,1.54996071,0.632231645,4.18873E-05,0.000225452,11.33265714,4.159310159,1.773133513
Plpp3,1.739049044,0.798298619,5.3762E-05,0.000281098,11.9423632,4.098587707,1.587025048
Syt11,-1.434451307,-0.520498996,7.0506E-05,0.000358405,11.65923373,-4.031797867,1.317334217
Gpr37l1,1.580213903,0.660119859,7.4387E-05,0.000367914,11.47443051,4.018493451,1.256075047
Calm1,-1.603179106,-0.680935611,8.93923E-05,0.000430494,12.53605486,-3.972598101,1.143431485
Nptn,-1.41998378,-0.50587445,0.000107434,0.000504115,11.51383115,-3.926250891,0.917801739
Serpine2,1.480480187,0.566065183,0.000121491,0.000555822,11.35303052,3.895006738,0.788645345
Myo6,1.42848037,0.514481211,0.000127036,0.000567013,11.25272431,3.883617363,0.739692117
Gm42418,-1.505107954,-0.589866968,0.000170955,0.000741246,15.1756216,-3.807143645,0.573595592
Epha5,-1.543874021,-0.626555035,0.000174173,0.000741246,11.61978092,-3.802300233,0.482941476
Actb,-1.434587741,-0.520636208,0.000199538,0.000829895,11.8232243,-3.766835132,0.369187065
Ywhag,-1.372720143,-0.457037533,0.000221992,0.000902768,11.3711388,-3.738829164,0.238827896
Gria2,-1.467676408,-0.55353392,0.000227734,0.000905987,13.181418,-3.732097332,0.298396097
Fus,-1.411814148,-0.497550184,0.000310873,0.001210421,11.48889508,-3.649266155,-0.061102375
Ttc3,-1.515718641,-0.600001975,0.000542619,0.002068736,12.48630392,-3.497111928,-0.501843213
Pla2g7,1.465879444,0.551766459,0.0005858,0.002187784,11.4429259,3.475780659,-0.646603676
Sptan1,-1.344275466,-0.426828803,0.000614684,0.002249745,11.44465499,-3.462318538,-0.688787709
Aplp1,-1.341845113,-0.424218154,0.00064853,0.002327078,11.49900098,-3.447277363,-0.733263226
Serinc1,-1.341516814,-0.423865137,0.000675491,0.002350543,11.43706741,-3.435812112,-0.775826781
Pafah1b1,-1.393752977,-0.478974886,0.000680758,0.002350543,11.81082466,-3.433621918,-0.751095313
Rps8,-1.378475822,-0.463073964,0.000747068,0.002531731,11.63886878,-3.407329064,-0.848108203
Prdx6,1.387298515,0.472278256,0.001098855,0.00365619,11.37112808,3.296393978,-1.227674822
Lrp1b,-1.4555781,-0.541592251,0.001119126,0.003657144,11.52131857,-3.291064868,-1.223402661
AY036118,-1.502503303,-0.587368163,0.001261824,0.004051118,11.96923916,-3.255904827,-1.296523163
Cadm2,-1.396695434,-0.482017458,0.001444669,0.00455818,12.52689844,-3.215891871,-1.380760028
Nrxn1,-1.362184551,-0.445922176,0.001563408,0.004849214,12.80073009,-3.19235202,-1.444512891
Ctnnd2,1.319213841,0.399678441,0.001635192,0.004987335,11.34134032,3.178911489,-1.590383041
Arhgap5,1.342841629,0.425289167,0.001709759,0.005092123,11.24953613,3.165515889,-1.636077074
Ttc14,-1.372274023,-0.456568595,0.0017252,0.005092123,11.66531153,-3.162809555,-1.601140219
Eef1a1,-1.348409363,-0.43125855,0.001775808,0.0051583,11.63780557,-3.154094093,-1.631232662
Glul,1.444351906,0.530422287,0.002036235,0.005822359,11.80046811,3.112579892,-1.734238337
Mycbp2,-1.35384335,-0.437060818,0.002182391,0.006144269,11.79786584,-3.091382613,-1.80223851
Clu,1.517882341,0.602059964,0.002275706,0.006309912,12.20458675,3.078523136,-1.802886348
Eif1,-1.291443248,-0.368984246,0.002333217,0.006372818,11.43212654,-3.070837407,-1.896596683
Son,1.356203283,0.439573442,0.002506185,0.006672454,12.35356093,3.048730086,-1.877965104
Tecr,-1.330032215,-0.411461189,0.002534283,0.006672454,11.50691965,-3.045272035,-1.962858662
Slc1a2,1.586428578,0.665782572,0.002552305,0.006672454,13.59295369,3.04307262,-1.873124961
Macf1,1.336704524,0.418680595,0.003232307,0.008331157,12.52836014,2.96902356,-2.097827761
Hspa5,-1.280629269,-0.356852889,0.004302045,0.010934365,11.29679823,-2.877395734,-2.451489089
Calm2,-1.320835866,-0.401451201,0.00516618,0.012950835,11.63179882,-2.817507425,-2.582542002
Map1b,-1.354291677,-0.437538489,0.005320047,0.013156332,11.87267778,-2.80781211,-2.587695682
Cspg5,1.33581569,0.417720964,0.006276077,0.015313627,11.80021697,2.752720119,-2.733738518
Fut9,-1.285418789,-0.362238466,0.006953403,0.016743062,11.38942364,-2.71811883,-2.868979751
Psap,-1.283005907,-0.359527812,0.007394153,0.017573117,11.80348759,-2.69720378,-2.882801712
Peg3,-1.318564695,-0.398968359,0.009257151,0.021718701,11.55397601,-2.619634837,-3.103822149
Slc22a17,-1.263171275,-0.337050269,0.009907816,0.022911614,11.41610543,-2.595834105,-3.178256167
Gapdh,-1.310628999,-0.390259358,0.010016006,0.022911614,12.56780555,-2.592013143,-3.08669435
Rnpc3,1.278011703,0.353901048,0.011562583,0.026122872,11.29003497,2.541079804,-3.330150356
Itm2b,-1.243972368,-0.314954439,0.011842032,0.026274669,11.97849159,-2.532532577,-3.271012331
Kif1b,-1.254166208,-0.326728554,0.011916926,0.026274669,11.69342657,-2.530272439,-3.310906467
Kif21a,-1.272906446,-0.348126391,0.01243001,0.027079665,11.46721028,-2.515120412,-3.371054149
Tcf25,-1.253775439,-0.326278973,0.013036167,0.0280661,11.61761901,-2.497921216,-3.396448515
Zranb2,-1.277359169,-0.353164241,0.014055036,0.029907808,11.44386249,-2.470551558,-3.47893636
Nrcam,-1.256435223,-0.329336293,0.015282495,0.032145938,11.84877367,-2.439825041,-3.507501743
Nktr,-1.276778871,-0.352508682,0.015490349,0.032212884,11.50313457,-2.434839773,-3.558121267
Per3,1.268040983,0.342601374,0.015959304,0.032563772,11.55382948,2.423805893,-3.579035193
Aldoa,-1.250438634,-0.322434258,0.01601497,0.032563772,11.7442383,-2.422515245,-3.55993631
Nap1l5,-1.282517521,-0.358978535,0.016841808,0.033868691,11.55295238,-2.403796686,-3.623246149
Ppia,-1.262531528,-0.336319415,0.01709694,0.034008044,11.85547128,-2.398184542,-3.603051045
Ptn,1.304423945,0.38341283,0.019619428,0.038605971,11.86892717,2.346344371,-3.715049463
Glud1,1.244562303,0.315638454,0.028302377,0.055099309,11.55686168,2.203904347,-4.066892389
Srsf11,-1.261557,-0.335205392,0.032028574,0.061697149,11.76531237,-2.154257351,-4.145543688
Dclk1,1.243316345,0.314193418,0.033733071,0.064303667,12.71453547,2.133191625,-4.115929787
Atp6v0c,-1.207805237,-0.272387834,0.035323066,0.066640424,11.62326786,-2.114350324,-4.245538915
Hnrnpu,-1.221147406,-0.28823736,0.037609611,0.070230193,11.82417921,-2.088491579,-4.272470782
Scg3,1.202748724,0.266335269,0.041888842,0.07743089,11.27702927,2.043511416,-4.427888168
Luc7l2,-1.242185323,-0.312880427,0.044112609,0.080726075,12.05493592,-2.021663258,-4.374126127
