SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Ahi1,1.448020675,0.534082202,1.75177E-76,1.28755E-73,11.24896575,18.80413364,162.8919171
Rsrp1,1.252773354,0.325125432,1.7722E-31,6.51285E-29,11.36163291,11.74578408,60.57498367
Csmd1,1.199418257,0.262334839,1.3411E-23,3.28568E-21,11.61899422,10.05929005,42.72270977
Atp1b1,1.221636848,0.288815484,3.52726E-23,6.48135E-21,11.30199384,9.961867543,41.77761647
Srrm2,1.215854635,0.281970753,3.085E-22,4.53495E-20,10.79304115,9.74004922,39.65405982
Snhg11,1.179434289,0.238095042,2.39684E-21,2.93613E-19,14.7720576,9.525858858,37.57357098
Gm27032,1.206426422,0.27073993,8.47626E-21,8.90007E-19,9.911522525,9.391597194,36.39809709
Nrxn1,1.181924697,0.241138121,5.98306E-20,5.49693E-18,11.57317718,9.180214296,34.47256999
Nrxn3,1.245963105,0.317261348,1.1001E-19,8.98416E-18,10.72128036,9.113386917,33.8917944
Rtn1,1.189241436,0.250041636,1.63845E-19,1.20426E-17,11.5822158,9.069426866,33.48430911
Cntn4,1.200942149,0.264166656,5.46501E-18,3.65162E-16,9.70877626,8.673293347,30.05243692
Fth1,-1.191480939,-0.252755872,1.33143E-17,8.15504E-16,11.18253766,-8.569956583,29.18566219
Mical2,-1.174028771,-0.231467764,3.41605E-16,1.93138E-14,9.659577086,-8.182966656,26.003606
Dlgap1,1.162419572,0.217130899,4.637E-16,2.43443E-14,11.57333018,8.14562452,25.70004852
A830036E02Rik,1.220072673,0.286967084,5.54712E-16,2.71809E-14,10.12574685,8.123649354,25.54479986
Epha6,1.197027097,0.259455811,4.37495E-15,2.00974E-13,9.918326931,7.866217797,23.52041568
Nptxr,1.181277253,0.240347614,6.4067E-15,2.74988E-13,10.01190698,7.817791019,23.15167145
Hivep2,-1.171283088,-0.228089804,6.7344E-15,2.74988E-13,9.81870429,-7.811436954,23.09700865
Cntn5,1.203843229,0.267647529,1.42891E-14,5.52764E-13,9.915901816,7.715014878,22.36471301
Tmsb10,-1.18704812,-0.247378419,2.07355E-14,7.62028E-13,9.769714421,-7.666864833,21.99697922
Pcsk1n,1.168894371,0.225144565,3.4793E-14,1.21776E-12,10.8949909,7.599454774,21.50560123
Enox1,1.153989886,0.20663058,5.63871E-14,1.88384E-12,9.595852791,7.536056091,21.01309756
Lsamp,1.21148837,0.276780556,7.20247E-14,2.30166E-12,10.51738055,7.503722057,20.80131754
Ppp2r2b,1.153371823,0.205857682,8.69752E-14,2.66362E-12,9.703985278,7.478715903,20.59457543
Rplp1,-1.161071724,-0.215457096,8.49819E-13,2.49847E-11,9.797561042,-7.170002876,18.37828909
Syn2,1.156405064,0.209646832,1.52133E-12,4.30067E-11,10.63449901,7.089099535,17.83072734
