SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Ahi1,1.357991135,0.441474062,2.73092E-14,1.52112E-11,11.47605499,7.686399629,21.82038492
Homer1,-1.331913027,-0.413499879,2.50232E-12,6.96896E-10,10.07517227,-7.062440589,17.4885964
R3hdm1,-1.298753436,-0.377127566,4.2744E-11,7.93613E-09,12.26274552,-6.643808509,14.77107825
Cacna2d3,-1.319949315,-0.400482532,7.72832E-11,1.07617E-08,10.04225331,-6.553417896,14.208604
Mical2,-1.296360093,-0.374466515,1.60281E-10,1.78553E-08,10.10937283,-6.440517159,13.51232893
Pde10a,-1.283526348,-0.360112911,2.00356E-10,1.85997E-08,9.951351506,-6.405617527,13.29913136
Rsrp1,1.285399933,0.362217302,2.93881E-10,2.33845E-08,11.48341353,6.345307531,12.93405322
Ttc14,-1.254400134,-0.326997618,2.4625E-09,1.71452E-07,11.35271739,-6.000736925,10.91053543
Nrgn,-1.310788472,-0.390434889,5.54446E-09,3.4314E-07,10.63208266,-5.864371051,10.14319145
Srrm2,1.256590603,0.329514696,8.73436E-09,4.86504E-07,11.21668465,5.786746843,9.710167332
Cntn5,1.358322652,0.441826214,1.67383E-08,8.47565E-07,10.76343757,5.673984297,9.095751393
1110008P14Rik,-1.241714725,-0.312333762,3.99341E-08,1.85361E-06,10.00056802,-5.519995484,8.263700167
Slc1a2,-1.275141201,-0.350657011,5.54435E-08,2.37554E-06,11.11039322,-5.460867356,7.960928928
Mycbp2,1.224942601,0.292714148,1.63012E-07,6.48555E-06,11.3425125,5.262323875,6.9387651
Camk2n1,-1.244310585,-0.315346633,1.94795E-07,7.23339E-06,11.66488731,-5.22887799,6.758777328
Raph1,-1.228807012,-0.297258353,2.99994E-07,1.04435E-05,10.08567516,-5.146985519,6.359643967
Mef2c,-1.249068721,-0.320852853,4.17681E-07,1.36852E-05,11.95465791,-5.083417334,6.024996195
Egr1,-1.249472559,-0.321319218,9.19536E-07,2.84545E-05,10.14952434,-4.928872215,5.306831402
Meg3,1.124338729,0.169076741,1.49752E-06,4.39009E-05,15.28987852,4.831147233,4.588896062
Stmn2,1.228209624,0.296556813,1.69736E-06,4.72714E-05,10.54175094,4.805758795,4.740857383
Asap1,-1.21767239,-0.284126034,2.04029E-06,5.41162E-05,10.67193113,-4.768242655,4.57171393
Lingo2,1.233823729,0.303136298,2.45095E-06,6.20536E-05,10.88806558,4.730590016,4.398927777
Cox8a,-1.211545786,-0.276848928,3.0418E-06,7.36645E-05,10.38432523,-4.685898818,4.193210668
Gm3764,-1.196298775,-0.258577747,4.33587E-06,0.000100628,9.935755288,-4.611709045,3.843551599
Gls,-1.206612221,-0.2709621,4.72643E-06,0.000105305,10.54703314,-4.593495877,3.784759819
Lsamp,1.22382658,0.291399138,6.97202E-06,0.000149362,10.56074091,4.510590192,3.420071212
Celf4,1.215746043,0.281841896,8.30605E-06,0.000171351,10.8628992,4.472803251,3.259192705
Epha5,1.217868006,0.28435778,1.08051E-05,0.000214944,11.35335292,4.415491669,3.002047371
Brinp3,-1.212602218,-0.278106367,1.6493E-05,0.00031678,10.21825696,-4.321927206,2.608990258
Map1b,1.194453432,0.256350609,1.89407E-05,0.000351665,11.25152239,4.290920235,2.483597132
Anks1b,1.185995895,0.246099017,1.98747E-05,0.000357103,10.40782837,4.280087531,2.441479653
Itm2b,1.200558122,0.26370525,2.69333E-05,0.000468807,10.78322685,4.211120715,2.165918668
Lrp1b,1.216377063,0.282590517,3.18623E-05,0.000537798,10.97815434,4.172548892,2.008279854
Eif1,-1.183558477,-0.243130989,3.33912E-05,0.000547027,10.45474251,-4.161735938,1.963568029
Epha4,-1.188448538,-0.249079433,4.20697E-05,0.000669509,10.05390673,-4.108065475,1.731574694
Ppp2r2b,1.172889348,0.230066913,5.1709E-05,0.000788978,10.14691947,4.059610721,1.544061501
Rock2,-1.173812058,-0.231201434,5.24097E-05,0.000788978,10.06550854,-4.056431686,1.528525689
Snhg20,1.174095608,0.231549893,7.01829E-05,0.001028734,10.3591689,3.98691142,1.271439584
9530059O14Rik,1.195004216,0.257015708,7.42746E-05,0.001060793,10.20743643,3.973297287,1.211970281
Camk2d,1.201589262,0.264943825,9.66529E-05,0.001345892,10.15095963,3.909475627,0.965883992
Rps8,-1.175625402,-0.233428437,0.000104538,0.001420184,10.4462949,-3.890293254,0.90923033
Hivep2,-1.16635108,-0.222002115,0.000125844,0.001668935,10.22459713,-3.844586246,0.7283841
Eno1,1.159577018,0.213598645,0.000129718,0.001680301,10.05797425,3.837070429,0.690417202
Atp2c1,-1.165109399,-0.220465424,0.000147073,0.001861807,10.3656985,-3.805804695,0.592240593
Dgkh,-1.158942749,-0.2128093,0.00015261,0.001888967,9.979383704,-3.796559919,0.537506451
Selenow,-1.170422322,-0.227029189,0.000201881,0.00244452,10.48924506,-3.725915349,0.306233118
Fnbp1l,-1.16003584,-0.214169379,0.000206517,0.002447447,9.985253492,-3.720131872,0.259878445
Fth1,-1.165868355,-0.221404894,0.000249316,0.002893103,10.89450942,-3.671847888,0.11524469
Cox4i1,-1.154750316,-0.207580941,0.00031954,0.003632325,10.13753034,-3.607369674,-0.131162803
Chgb,1.167780533,0.223769166,0.000336444,0.003711257,10.63768159,3.593850366,-0.158972732
Zcchc18,1.150514862,0.20227962,0.00033981,0.003711257,10.23944866,3.591234524,-0.182529636
Psap,1.158794188,0.212624354,0.000349166,0.00374011,10.34011829,3.584088442,-0.202607254
Ttc3,1.119043529,0.162266155,0.000383858,0.004034129,12.26573518,3.559070722,-0.364051692
Nwd2,1.157891736,0.211500367,0.000398105,0.004106379,10.05144297,3.549404927,-0.338125378
Atp1b1,1.160370751,0.214585836,0.000414981,0.004202621,11.55268635,3.53836586,-0.378531644
5330434G04Rik,1.165056024,0.220399332,0.000488178,0.004855628,10.43071096,3.494881432,-0.504681343
Tmx4,1.147821357,0.198898124,0.000497026,0.0048569,10.2915086,3.490044768,-0.526606635
Frrs1l,-1.151652954,-0.203706032,0.000570513,0.005478894,10.16573614,-3.452717996,-0.658015506
Cnksr2,-1.15746015,-0.210962524,0.000657902,0.006211043,10.77920454,-3.413770259,-0.767006977
R3hdm2,-1.140794238,-0.1900386,0.000686198,0.0063702,10.02945663,-3.402189352,-0.834201967
Gnas,1.152233017,0.204432504,0.000728031,0.006570127,10.57998305,3.385856667,-0.862084803
