SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Tcf4,-1.355390349,-0.438708404,5.9802E-08,1.21996E-05,12.18399599,-5.451467991,7.645998797
Cadm2,1.259406914,0.332744493,2.26807E-06,0.000215919,11.81662189,4.749435852,4.140993975
Ahi1,1.237924603,0.307923449,3.17529E-06,0.000215919,12.28793475,4.679736137,3.849477334
Xist,-1.207485648,-0.272006041,8.50531E-06,0.000433771,13.60971312,-4.470090234,2.883806765
Ppia,1.195073619,0.257099494,3.96321E-05,0.001616989,11.75315191,4.123912624,1.426013515
Rtn1,1.187686477,0.248154047,0.000182712,0.006212191,12.54611166,3.752705586,0.032647194
AC149090.1,1.18029773,0.239150826,0.000222078,0.00647198,11.74685605,3.702984411,-0.188533271
Ubb,1.165461283,0.220901078,0.00039892,0.010172459,11.73962343,3.55011324,-0.73354315
Fth1,-1.158639548,-0.212431814,0.000604114,0.013693249,11.61232614,-3.438267452,-1.124615941
Rab3c,-1.172656749,-0.22978078,0.000814959,0.016625167,11.83272488,-3.355603945,-1.376052528
Gad2,-1.185107094,-0.245017436,0.001530052,0.028375512,11.72234421,-3.175720463,-1.965345315
Fubp1,-1.132096576,-0.178997035,0.002428248,0.04019255,11.47191707,-3.038146238,-2.41582354
Rps2,-1.129568127,-0.175771286,0.002723,0.04019255,11.51121986,-3.003205519,-2.516251947
Tra2a,-1.132765667,-0.179849444,0.002758312,0.04019255,11.70278867,-2.999254465,-2.50462763
Malat1,1.078745711,0.109354823,0.004815059,0.065484806,17.52097111,2.824051662,-3.289571675
Atp6v0c,1.13759691,0.185989452,0.005821884,0.070919095,11.84970369,2.762256105,-3.167282047
Kcnq1ot1,-1.133718658,-0.181062668,0.006232426,0.070919095,11.97455926,-2.739801095,-3.21131929
Rpl13,-1.1236635,-0.168210061,0.006257567,0.070919095,11.68441038,-2.738469727,-3.244645632
Sgip1,-1.111626495,-0.152672126,0.009031482,0.096161754,11.40191407,-2.614822847,-3.60427697
Zranb2,-1.116776732,-0.159340789,0.009427623,0.096161754,11.77253433,-2.60004683,-3.598311799
Psap,1.105840741,0.145143629,0.010848554,0.099482215,11.31573994,2.551244418,-3.777420831
Clcn3,1.101367187,0.139295532,0.011157544,0.099482215,11.26155922,2.541391491,-3.806385975
Slc6a1,-1.139580737,-0.18850314,0.011216132,0.099482215,11.55440346,-2.539550672,-3.77811592
Atp6v0a1,-1.102755011,-0.141112316,0.012123293,0.10304799,11.32760151,-2.512086997,-3.871983965
Hsp90ab1,1.124007905,0.168652182,0.014526072,0.110273265,12.1740877,2.447292618,-3.951138486
Srrm2,1.105834139,0.145135016,0.015243703,0.110273265,11.84390333,2.429781761,-4.018246767
Psip1,1.102498873,0.14077718,0.015877636,0.110273265,11.33676181,2.41490769,-4.110172131
Selenow,-1.104721145,-0.143682248,0.016102042,0.110273265,11.32060533,-2.409767586,-4.121465739
Ewsr1,1.099021694,0.136219865,0.016374083,0.110273265,11.23454259,2.403620255,-4.145250656
Ywhaz,1.098000433,0.134878623,0.016387498,0.110273265,11.27897956,2.403319448,-4.142240584
Ddhd2,-1.095815678,-0.13200515,0.016838119,0.110273265,11.19530733,-2.393338689,-4.171432632
Rps8,-1.109820383,-0.150326205,0.017608407,0.110273265,11.682515,-2.376808739,-4.157621861
Aldoa,1.096920833,0.133459408,0.017838322,0.110273265,11.30578988,2.371997909,-4.2140284
Matr3,1.098139279,0.135061045,0.021232761,0.122942745,11.43860189,2.306640723,-4.354054843
Itm2b,1.102300041,0.140516972,0.021595467,0.122942745,11.53554498,2.300208585,-4.358352559
Srpk2,-1.096093327,-0.132370642,0.021695779,0.122942745,11.35176218,-2.29844631,-4.377472982
5330434G04Rik,-1.10649713,-0.145999709,0.023462917,0.129363108,12.16175939,-2.268509579,-4.365296126
Gria4,-1.097723539,-0.134514759,0.024570305,0.131903744,11.33767433,-2.250734168,-4.486288649
Slc25a3,1.092599349,0.127764468,0.025243684,0.132043886,11.51140122,2.240262371,-4.495580041
Etnk1,-1.094590126,-0.130390747,0.027272665,0.139090592,11.53574799,-2.210109765,-4.554029666
Cacna2d1,-1.113706132,-0.155368607,0.030236979,0.145588697,11.78489064,-2.169367875,-4.610977326
Ttc3,1.089414973,0.123553602,0.030345801,0.145588697,13.14954686,2.167938827,-4.600414449
Aak1,-1.0896738,-0.12389632,0.031004229,0.145588697,11.34882081,-2.159385128,-4.684639861
Rbm25,-1.094166148,-0.129831827,0.031401484,0.145588697,11.62193622,-2.154299577,-4.663642033
Atp1b1,1.107095335,0.146779462,0.038267683,0.173480165,12.4998934,2.074104578,-4.778203863
Krit1,-1.087951922,-0.121614804,0.039361882,0.17456139,11.32340146,-2.062481153,-4.889188493
Epha5,1.106610926,0.146148073,0.041427816,0.178682644,11.91847296,2.041264233,-4.868021369
Gm42418,1.099340546,0.136638363,0.043449634,0.178682644,14.96425589,2.021351877,-5.024524815
Ptprd,-1.118728793,-0.161860334,0.044138101,0.178682644,11.82807538,-2.014750189,-4.925339047
Pcsk1n,1.098518839,0.135559612,0.046050078,0.178682644,12.21269747,1.996862056,-4.937316403
Actb,1.082613691,0.114518538,0.046173564,0.178682644,11.37855067,1.99572843,-5.020710984
R3hdm1,-1.095063041,-0.131013926,0.046378239,0.178682644,11.72428705,-1.993855083,-4.979530138
Nptn,1.08486749,0.117518837,0.046422452,0.178682644,11.63533677,1.993451328,-4.99647377
Snrnp70,1.084475191,0.11699705,0.049467399,0.186876839,11.81919197,1.96639365,-5.026792095
