SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Ahi1,1.584040356,0.663609091,7.22815E-07,0.000183595,12.50708883,5.030697027,5.580085236
Rsrp1,1.294117102,0.37196817,0.00110924,0.066959424,12.52555845,3.283736133,-1.008373577
Rps8,-1.29031686,-0.367725388,0.001299275,0.066959424,11.19747156,-3.2377594,-1.206587998
Tra2a,-1.28001082,-0.356156006,0.001461251,0.066959424,11.35556478,-3.203251736,-1.300240074
Tcf25,1.265112266,0.339265416,0.001547707,0.066959424,11.40038007,3.186257634,-1.346567469
Tmx4,1.263902898,0.33788563,0.001668592,0.066959424,11.22278618,3.163911036,-1.422995091
Mycbp2,1.285371387,0.362185263,0.002078688,0.066959424,12.07051029,3.097863181,-1.570432049
Zranb2,1.28160152,0.357947764,0.002108958,0.066959424,11.82543916,3.093477911,-1.592791868
Slc25a3,1.259915829,0.333327355,0.002409925,0.068013446,11.32785342,3.052772956,-1.740796395
Kmt2e,1.230199441,0.298892226,0.004343755,0.108305085,11.1539101,2.867476276,-2.266338533
Malat1,1.201683727,0.265057241,0.004690378,0.108305085,17.31287999,2.842617771,-2.149752827
Tmsb10,-1.26201702,-0.335731367,0.006363298,0.134689815,11.76392131,-2.742082606,-2.554531985
Serinc1,1.226041677,0.294008022,0.007969503,0.154890959,11.28948537,2.665980715,-2.782445935
Lrp1b,1.245843348,0.317122676,0.008537297,0.154890959,11.20181075,2.64236567,-2.846772266
Nrxn1,1.258085809,0.331230326,0.011131693,0.17585808,12.52158256,2.549714043,-2.995548274
Gm42418,1.286211219,0.363127579,0.012084378,0.17585808,14.9320457,2.520503248,-2.977092124
Ogt,1.21833197,0.28490729,0.013109924,0.17585808,11.6186684,2.491264564,-3.178899084
Hspa8,1.230749856,0.299537571,0.013139571,0.17585808,11.62267862,2.490449948,-3.180472951
Ube3a,1.208082338,0.272718787,0.013154738,0.17585808,11.11812334,2.490033814,-3.222935762
Fau,-1.196937198,-0.259347458,0.01544231,0.194285525,11.04885964,-2.431667024,-3.369587601
Tcf4,-1.21630294,-0.282502601,0.016062977,0.194285525,11.65941873,-2.417155034,-3.347844732
Gpm6a,1.211173318,0.276405328,0.017705536,0.197351498,11.35624829,2.381008669,-3.455569633
Atp6v0b,1.203420162,0.267140432,0.018433039,0.197351498,12.21227065,2.365935005,-3.430689999
Cacna2d1,1.191923573,0.253291732,0.018647386,0.197351498,11.14711956,2.361593523,-3.515195284
Ckb,1.199258569,0.262142748,0.020053783,0.200441441,11.2085183,2.334147335,-3.572082505
Pnisr,1.204360839,0.268267703,0.020517628,0.200441441,11.95180401,2.325464861,-3.531622126
Zcchc18,1.188728527,0.249419281,0.021438115,0.201677082,11.22679926,2.308731595,-3.626225692
Fth1,-1.20434086,-0.26824377,0.023945009,0.217215437,11.57320037,-2.266149484,-3.687958521
Rtn1,1.213437798,0.279100157,0.026510227,0.232193025,12.01849642,2.226420126,-3.73993376
Aplp1,1.176350888,0.234318459,0.031867446,0.269811044,11.20496413,2.153177777,-3.957116137
