SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Mbp,-2.533292359,-1.341013583,1.14923E-14,7.81479E-13,13.74375897,-7.947910408,22.60612306
Plp1,-2.986047666,-1.578237195,4.79564E-14,1.63052E-12,14.46844814,-7.747846391,21.2403966
Apoe,1.86737631,0.901012686,3.77942E-12,8.56668E-11,13.21004242,7.109806059,16.95089565
Olig1,1.583022123,0.662681418,5.37786E-10,7.71863E-09,12.85866692,6.325351412,12.0079601
Ptprz1,2.175660982,1.121453769,5.67546E-10,7.71863E-09,13.46890224,6.316400981,12.08652129
Aplp1,-1.596122118,-0.674571035,1.61213E-09,1.74557E-08,12.86630706,-6.140816331,10.94342722
Ptprd,-1.659232723,-0.730516252,1.79691E-09,1.74557E-08,13.18910569,-6.122329427,10.92303908
Anks1b,1.537124025,0.620233575,3.65672E-09,3.10821E-08,12.71019393,6.000135113,10.12409399
Scd2,-1.472055417,-0.557831984,4.38212E-08,3.31094E-07,12.91496651,-5.555755107,7.745099284
Mapt,-1.43809923,-0.524163226,6.32418E-08,4.30044E-07,12.87667454,-5.487595371,7.38074626
Ptn,1.515116643,0.599428865,1.0577E-07,6.53852E-07,13.15077679,5.390829593,6.96466226
Gria2,1.550277759,0.632526723,1.35179E-07,7.66017E-07,12.80122262,5.344154767,6.641931935
Rpl13,1.467342217,0.553205379,2.6322E-07,1.35935E-06,12.71444561,5.215613609,5.985334078
Zeb2,-1.378201431,-0.462786761,2.79866E-07,1.35935E-06,12.68242608,-5.203651972,5.91696972
Tubb4a,-1.495442925,-0.580572849,1.51998E-06,6.89059E-06,13.072196,-4.863876323,4.375058628
Sept7,-1.400796518,-0.486247402,2.62992E-06,1.09632E-05,13.13629508,-4.749421452,3.863286839
Rtn4,-1.381773201,-0.466520837,2.74079E-06,1.09632E-05,12.70020898,-4.740707058,3.727324376
Gatm,-1.403332755,-0.488857138,5.00904E-06,1.84804E-05,13.10478576,-4.611865279,3.234976207
Enpp2,-1.399776826,-0.485196828,5.16363E-06,1.84804E-05,13.18988362,-4.605289792,3.232574348
Fth1,-1.417852438,-0.503707393,1.05677E-05,3.59303E-05,13.02510042,-4.448000168,2.500993344
Cd81,1.342983665,0.425441758,1.27885E-05,4.14103E-05,13.03553079,4.405309486,2.316604151
App,-1.384017372,-0.468862052,1.5136E-05,4.67839E-05,13.05211154,-4.367296639,2.162902111
Hsp90ab1,-1.312605951,-0.392433879,9.67907E-05,0.000286164,13.28284845,-3.928503085,0.480229536
Srek1,1.283668308,0.360272468,0.000120122,0.000340347,12.62200415,3.874725675,0.124801406
Ank2,-1.303221666,-0.382082494,0.000130309,0.000354442,12.8580937,-3.854291932,0.08123955
Atp6v0b,1.264065958,0.338071745,0.000200236,0.000523694,12.77361051,3.744904831,-0.333319411
Cdc37l1,-1.279300033,-0.355354658,0.00025789,0.0006495,12.71167777,-3.679198798,-0.583514225
Epn2,1.29550392,0.37351338,0.000297867,0.000723391,12.65900673,3.641332268,-0.722192248
Pafah1b1,1.25516547,0.327877569,0.000404707,0.000948968,12.67543233,3.559675343,-1.006787224
Edil3,-1.269798443,-0.344599514,0.000784179,0.001777472,12.89588531,-3.377880734,-1.587256025
Sox10,1.238688535,0.308813472,0.001426213,0.003128468,12.77169399,3.206187553,-2.159524689
Qk,-1.242150305,-0.312839756,0.001975147,0.004197188,12.9064272,-3.109451003,-2.436325017
Xist,1.23625073,0.305971373,0.00204292,0.004209654,14.49463567,3.099286541,-2.270513751
Pde4b,-1.250117509,-0.322063712,0.002407437,0.004814874,13.17816361,-3.049425361,-2.542384382
Ankrd28,-1.187598586,-0.248047281,0.007966453,0.015477679,12.82476803,-2.663593021,-3.716118046
Srsf11,1.174199124,0.231677086,0.009413973,0.017486421,12.70034774,2.606163013,-3.883537497
Lrp1b,1.198871773,0.261677362,0.00951467,0.017486421,13.27595025,2.602469063,-3.752716281
Tmeff2,-1.19710844,-0.259553844,0.02259725,0.040437185,12.86944326,-2.286865239,-4.625673915
Snrnp70,1.146424081,0.197140819,0.032323809,0.055963682,12.71172296,2.146034972,-4.960873993
Srrm2,1.145805581,0.196362269,0.032919813,0.055963682,12.56742635,2.13866065,-4.996595354
Gm42418,1.173922084,0.231336656,0.040566838,0.067281585,15.33874167,2.052961841,-5.014441844
