SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Ahi1,1.434840875,0.52089075,4.71211E-20,2.20527E-17,11.24984343,9.288850231,34.7573804
Phactr1,1.49478802,0.579940906,3.44234E-18,5.71141E-16,10.44036917,8.796863664,30.54338653
Cadm2,1.491652401,0.576911384,3.66116E-18,5.71141E-16,11.03858359,8.789620847,30.49588499
Rtn1,1.373326514,0.457674673,1.33163E-15,1.55801E-13,11.54143473,8.07010908,24.74359505
Lrrc7,1.382061955,0.46682229,3.1193E-15,2.91967E-13,10.36003696,7.961460466,23.88200259
Dab1,1.351836398,0.434920564,7.26611E-15,5.66757E-13,10.22292028,7.852191887,23.05002025
Ddx5,1.334733568,0.416551788,1.44967E-13,9.69207E-12,10.73373456,7.453882296,20.15235635
Auts2,1.317638283,0.397954378,5.04826E-13,2.95323E-11,10.33813673,7.282073039,18.91930896
Pde10a,1.398100194,0.483467754,1.98208E-12,1.03068E-10,10.39434714,7.089431862,17.59180444
Tcf4,-1.333908813,-0.415660046,2.70638E-11,1.26659E-09,11.66933535,-6.707373597,15.09666442
Actb,1.283830203,0.360454407,8.72488E-11,3.71204E-09,10.70289939,6.529742784,13.93105824
Ywhaz,1.26423792,0.338267994,1.24513E-10,4.85603E-09,10.35686915,6.474898792,13.56633091
Actg1,1.273925016,0.349280363,1.45839E-10,5.25019E-09,10.67980499,6.450384757,13.43165228
Erbb4,-1.344879776,-0.427477211,2.06002E-10,6.88635E-09,11.58897408,-6.396530271,13.13000374
Atp2b1,1.311407028,0.391115531,3.28667E-10,1.02544E-08,10.96890303,6.32302558,12.66178436
Ndufb8,-1.247379189,-0.318900094,3.66537E-10,1.07212E-08,10.21790177,-6.305754791,12.51019617
Nrxn1,1.26279898,0.336625001,1.05957E-09,2.91693E-08,10.64084048,6.135338493,11.5093704
Chn1,1.264428578,0.338485548,6.35726E-09,1.65289E-07,10.59062967,5.837486982,9.775934446
