SYMBOL,FC,logFC,P.Value,adj.P.Val,AveExpr,t,B
Ahi1,1.593867739,0.672531918,1.17863E-47,3.51231E-45,12.18785633,14.83504436,97.4267654
Nap1l5,1.563496527,0.644776015,4.00423E-36,5.9663E-34,11.80121125,12.76464052,71.11755212
Meg3,1.740331172,0.799361867,5.51872E-33,5.48192E-31,16.03663142,12.14983559,64.00577776
Snhg11,1.803545185,0.850835568,7.24234E-30,5.39554E-28,15.33400065,11.51119726,56.90877097
Ttc3,1.32015028,0.400702169,1.487E-22,8.86255E-21,12.92826128,9.873320929,40.26524138
Fth1,-1.379938643,-0.464604121,6.70684E-21,3.33106E-19,11.49426877,-9.4679727,36.46538264
Peg3,1.353275696,0.436455782,1.66304E-18,7.07982E-17,11.86868244,8.851679498,31.05487053
Grin2a,-1.345771807,-0.428433803,5.31093E-17,1.97832E-15,10.98277476,-8.443671284,27.58391761
Rtn1,1.303623442,0.3825272,1.68403E-15,5.57601E-14,12.37396459,8.017670173,24.27666255
Tmx4,1.276826006,0.352561941,4.30902E-15,1.28409E-13,11.15077853,7.89824801,23.27593549
Zcchc18,1.277892626,0.35376662,5.41359E-15,1.46659E-13,11.11920256,7.868990366,23.04870865
Ly6h,1.294420186,0.372306011,7.88662E-15,1.95851E-13,11.7950357,7.820531368,22.73606613
Tmem130,1.254692307,0.32733361,1.91295E-14,4.38507E-13,10.80575615,7.705307424,21.78265548
Pcsk1n,1.289005774,0.366258727,4.54824E-14,9.68126E-13,12.00711082,7.591128114,21.03070845
Gprasp2,1.25885048,0.332106937,2.67676E-13,5.31783E-12,11.20424832,7.352387928,19.23411335
Srrm2,1.254658805,0.327295088,4.21926E-13,7.85838E-12,11.56881304,7.28993491,18.82221773
Ppp3ca,-1.263734905,-0.33769386,7.76593E-13,1.36132E-11,10.97269803,-7.205422883,18.17122503
Gnas,1.254190098,0.326756035,1.36288E-12,2.25633E-11,11.2967354,7.126693573,17.6511278
Nrxn1,1.251861539,0.324075003,1.61819E-12,2.538E-11,11.51605122,7.102498263,17.50314202
App,1.260107235,0.333546512,3.40954E-12,5.08022E-11,11.67515097,6.99658882,16.78682993
Tecr,1.239132454,0.309330409,6.33256E-12,8.9862E-11,11.12002528,6.907468307,16.13005979
Chn1,-1.240006476,-0.310347655,2.30151E-11,3.11749E-10,10.96793372,-6.718217971,14.85769956
