"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_black","kME_brown","kME_green","kME_red"
"Tcea1","turquoise","turquoise",0.170070554184228,0.119259962742782,0.127396595971294,0.0664925785530566,0.0254472685951375,0.110144040167951,0.105760998388442,0.0455117898802272
"Atp6v1h","blue","blue",0.162858094311414,0.171269001682333,0.170588184757794,0.0869212991801367,0.0803766352190043,0.0797828038530718,0.14265227363927,0.0579268065298797
"Rb1cc1","grey","grey",0.0864349986280338,0.09054754480618,0.158415578044785,0.126624672891625,0.10313200965008,0.041695767337004,0.126175861047568,0.107279048566088
"4732440D04Rik","grey","grey",0.0836099645547119,0.0809151122659372,0.116613876858101,0.0508058754422891,0.0584375028183282,0.0135782402161704,0.0761629589881568,0.0344404118674629
"Pcmtd1","grey","grey",0.0738719105868098,0.0532609518498864,0.135047799999315,0.108989594351297,0.0624440249553675,0.0507320007688078,0.0885464653498078,0.116939139447761
"Sntg1","blue","blue",0.127872393215638,0.200215845140129,0.137889655812189,0.0397881401025639,0.0881179085741884,-0.0163970216982081,0.13047408768737,-0.0136359951011797
"3110035E14Rik","yellow","yellow",0.0699335200506899,0.0385984445148385,0.159020619174929,0.251653657232106,0.0878149367707643,0.0189039387754196,0.186608558692182,0.155760769252906
"Vcpip1","turquoise","turquoise",0.144508730017477,0.108021838840327,0.139749754127565,0.0887950848945942,0.0467311441748411,0.0621668165336762,0.124422337702825,0.0608462416547116
"Cops5","grey","grey",0.0848734451501755,0.0774262535416758,0.108933151244148,0.0560938778500395,0.0593328649884603,0.0514809988922402,0.0823456522330153,0.0405231623037414
"Cspp1","black","black",-0.0221285129994839,0.0642258419510756,0.070331840452617,0.0647520487928957,0.187052959808144,-0.0405649844442781,0.0715911608159055,0.0387227124240901
"Arfgef1","grey","grey",0.0444363594296091,0.0552685032551352,0.0831502709045668,0.0512568799549146,0.0632508029839103,0.0487108717420318,0.0588766146542771,0.0587558452626915
"A830018L16Rik","black","black",0.092191389939739,0.152158469109395,0.12131977624803,0.0173257623664973,0.17604095897375,0.0596962768040467,0.105537884180923,0.00246241775115041
"Ncoa2","grey","grey",0.0425095355602683,0.0584302726572227,0.0705356150228921,0.0300036224261599,0.0567050986381124,0.0130130988061149,0.0498659162201091,0.0238286585699891
"Terf1","grey","grey",0.0602211855692257,0.0477971626953827,0.090182951629256,0.0689811887227193,0.0305431815189478,0.0102007958457037,0.0735168225921829,0.0471593675056104
"Rpl7","brown","brown",0.140046538409733,0.0622321702197528,0.0841734132119728,0.0356450960334506,-0.0205946589934133,0.178055931766943,0.0524711979312444,0.0581211266971071
"Stau2","grey","grey",0.0899931654337717,0.115039185534748,0.12130859211801,0.0614324078706852,0.0874286168292085,0.0494196033882938,0.0946055818774362,0.0503862427739335
"Ube2w","grey","grey",0.13176559634489,0.112200570576435,0.168332250683771,0.103983711845891,0.0790030181849951,0.104404013379148,0.116177864370105,0.108418672423521
"Eloc","turquoise","turquoise",0.180428432680725,0.126448771023979,0.141144995885288,0.101358125994242,0.0269674684666493,0.113964470219282,0.133848923062841,0.0675529148170339
"Gdap1","black","black",0.0508532750849074,0.111887456090978,0.102171499382667,0.03743690155452,0.16371466053509,0.0642363182314228,0.0705449966062981,0.0474578143388796
"Kcnq5","grey","grey",0.163095724241972,0.0952559615663575,0.223701744533558,0.258135198739132,0.0350366076455132,0.00928777462940985,0.231987608385402,0.166531857874944
"Rims1","grey","grey",0.0946902933356938,0.132700562176832,0.156196998004597,0.134258410207398,0.124217304497609,0.00342088288676681,0.173140537031304,0.060105517022551
"Ogfrl1","grey","grey",0.115150124026241,0.0992511756957611,0.118535554645895,0.0718025354081945,0.0524387272903652,0.0939451497908527,0.112108351010474,0.0443638209593233
