"gene_name","module","kME"
"Stmn3","turquoise",0.415982751826641
"Ppia","turquoise",0.416718929412079
"Rab3a","turquoise",0.420243571519074
"Hsp90ab1","turquoise",0.435782493133086
"Aldoa","turquoise",0.447607979865878
"Ubb","turquoise",0.46807368867267
"Mdh1","turquoise",0.471079726193348
"Atp6v0c","turquoise",0.475698267557186
"Hspa8","turquoise",0.500387570029258
"Gapdh","turquoise",0.539023842937711
"Kcnc1","blue",0.301312174959616
"Cntnap2","blue",0.301993045841989
"Atp1a3","blue",0.310805733589132
"Cplx1","blue",0.356111308197492
"Peg3","blue",0.363426909750745
"Rab3c","blue",0.365399962979854
"Atp1b1","blue",0.368821487397736
"Scn1a","blue",0.373457636643128
"Hcn1","blue",0.38006192382432
"Elavl2","blue",0.387189675353976
"Arpp19","yellow",0.447404282022197
"Camk2n1","yellow",0.450210723255193
"Slc39a10","yellow",0.464255378682619
"Psd3","yellow",0.475697573453024
"Arhgap32","yellow",0.495437369803337
"Cck","yellow",0.503888577929834
"Sv2b","yellow",0.533997519680084
"Ptprd","yellow",0.538474756305266
"R3hdm1","yellow",0.541875248552833
"Arpp21","yellow",0.575778862935448
"Taf1d","black",0.211319942904877
"Zcchc7","black",0.215736163264389
"Fus","black",0.218269076488852
"Luc7l2","black",0.219460003800998
"Tia1","black",0.220098707477076
"Aak1","black",0.224579538529985
"Etnk1","black",0.23197088057953
"Nktr","black",0.243011114810998
"Ttc14","black",0.261053500761272
"Kcnq1ot1","black",0.284645707994863
"Gm10076","brown",0.303663205396939
"Rps24","brown",0.307735180642393
"Rpl23","brown",0.309735249051017
"Fau","brown",0.315871184551434
"Uba52","brown",0.320481592049456
"Rpl37","brown",0.320486945083385
"Eef1a1","brown",0.332758320532782
"Gm42418","brown",0.354466743854362
"Rplp1","brown",0.386198664445047
"Tmsb4x","brown",0.390139920206309
"Vamp2","green",0.301858396089872
"Stxbp1","green",0.310294831802465
"Prkar1b","green",0.313869733879137
"Chgb","green",0.324148138348526
"Sgcz","green",0.334022103870496
"Kcnh7","green",0.34311237939296
"Vsnl1","green",0.379934297493128
"Stmn2","green",0.390345924622612
"Syt1","green",0.405714099014532
"Mef2c","green",0.445313996496788
"Kalrn","red",0.442288816775519
"Ctxn1","red",0.450107038842591
"Cnksr2","red",0.457709792042956
"Ppp3ca","red",0.460542809607803
"Fam19a1","red",0.478033237986211
"Atp2b1","red",0.514834354474544
"Chn1","red",0.515267653128132
"Celf2","red",0.517181801319869
"Camk2a","red",0.535072418111447
"Nrgn","red",0.550714709039855
