"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"A830036E02Rik",0.410416248255927,8.67979155518309,13.8752648282524,3.50962265657256e-43,6.96695403484708e-43,86.5946036082793,"Glutamatergic","A830036E02Rik"
"Lars2",-0.382846744454891,9.19369599974832,-13.7540520252584,1.80335369539354e-42,3.5547100434145e-42,84.586770193908,"Glutamatergic","Lars2"
"AC149090.1",0.380681330874568,9.60421599985843,14.9212024554939,1.48092789940948e-49,3.15124468966207e-49,99.3856117023822,"Glutamatergic","AC149090.1"
"Mef2c",0.370875815655911,10.0947319403049,15.4485055801903,6.2235417708789e-53,1.36832459580646e-52,105.54190537784,"Glutamatergic","Mef2c"
"Rplp1",-0.34327604749982,8.896497419511,-13.0575319954737,1.68785897901878e-38,3.17777101021453e-38,76.0112853257329,"Glutamatergic","Rplp1"
"Chd9",0.331155039009797,8.85108228629861,11.7000712754258,2.558527931889e-31,4.37970649355434e-31,59.831339693996,"Glutamatergic","Chd9"
"Zcchc7",0.330147973638381,9.37926015911085,12.3442090888976,1.23941878586838e-34,2.22209125807441e-34,66.7193702024206,"Glutamatergic","Zcchc7"
"Igsf9b",0.32593317079329,8.50859564559787,11.2745690767393,3.20205396044876e-29,5.31385498136841e-29,55.3229572272605,"Glutamatergic","Igsf9b"
"Zranb2",0.323380250520572,9.47404435366811,12.6595135742457,2.56811647695965e-36,4.69697695931308e-36,70.3392765047477,"Glutamatergic","Zranb2"
"Sorbs2",0.315757611545576,9.46394602207777,11.5798819348138,1.01834602174282e-30,1.72621377552672e-30,57.9666201098516,"Glutamatergic","Sorbs2"
"Numb",0.315384675465848,8.52988064832582,11.2887520900125,2.73339155299764e-29,4.54312475112601e-29,55.4697723114976,"Glutamatergic","Numb"
"Adgrl2",0.314252378534082,8.33333831569423,11.8542135958245,4.26619745753917e-32,7.39514740669159e-32,61.8912828156993,"Glutamatergic","Adgrl2"
"Ctxn1",-0.311659185509315,8.86594200638743,-12.0513191175646,4.18063602894247e-33,7.34730882305862e-33,63.9188609572656,"Glutamatergic","Ctxn1"
"Pde10a",0.308513708308794,8.49029251998733,10.9961869147205,6.88332513050064e-28,1.11979798223733e-27,52.3347797097469,"Glutamatergic","Pde10a"
"Ptprd",0.308328140396698,10.0700936735701,14.1611335542087,7.01142226000011e-45,1.41742707400357e-44,88.0637935676655,"Glutamatergic","Ptprd"
"Plcb4",0.30805202847591,7.9155642385136,15.2675168476105,9.22976934878762e-52,2.00417535002879e-51,106.768966843319,"Glutamatergic","Plcb4"
"Abi3bp",0.307629197561569,7.64813773468463,20.6938646420731,2.82019965901663e-92,8.99477623205146e-92,199.479570158686,"Glutamatergic","Abi3bp"
"Msi2",0.30602091194919,7.8819389107411,14.694094924943,3.90199493804277e-48,8.16217208389808e-48,98.4884200734627,"Glutamatergic","Msi2"
"Dynll1",-0.305958756924221,8.96887044160583,-11.8087101060297,7.25598754187934e-32,1.25348798601101e-31,61.0661590158039,"Glutamatergic","Dynll1"
"Sgcz",0.303382276167827,8.60615870225494,10.6625972154496,2.47024348343154e-26,3.92047250700598e-26,48.794815239896,"Glutamatergic","Sgcz"
"Rbms1",0.296287226300776,7.86704956972185,14.8763222169348,2.8372718625848e-49,6.0177461431281e-49,101.084962391845,"Glutamatergic","Rbms1"
"Car10",0.296088650168279,8.43627832813102,11.1552284155053,1.20357933338924e-28,1.97936152557472e-28,54.0633217337317,"Glutamatergic","Car10"
"Vwa5b2",0.293287080300749,7.9834579761333,13.2313672651181,1.79606039153385e-39,3.41993431323465e-39,78.7478494759032,"Glutamatergic","Vwa5b2"
"N4bp2l2",0.292686632565172,8.7247820332059,10.3347334903752,7.52704480889596e-25,1.16611058306551e-24,45.4198638733948,"Glutamatergic","N4bp2l2"
"Calm2",-0.291203454281778,9.67309965205499,-12.5017581178359,1.80704164468945e-35,3.27026880235142e-35,68.3509251325237,"Glutamatergic","Calm2"
