"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"R3hdm2",-0.635399508760509,8.8982208925412,-4.94066251002519,1.26549901522828e-06,1.75453931263854e-05,3.57110051791508,"Glutamatergic","R3hdm2"
"Metap1d",0.59933581821722,7.9620168796974,5.37152112700391,1.51832898845946e-07,1.11548530554846e-05,6.73144140930016,"Glutamatergic","Metap1d"
"AC149090.1",-0.51489871737965,9.77214492685702,-5.2770401143234,2.44585501082581e-07,1.11548530554846e-05,3.87580260022722,"Glutamatergic","AC149090.1"
"Atp2b2",0.487253407497342,9.13089387784946,4.14841635512884,4.30935421046157e-05,0.000206950200244084,0.927257907570749,"Glutamatergic","Atp2b2"
"Grik2",-0.47900401685389,8.22709921400946,-4.33160475342315,1.99151650237934e-05,0.000110071655334209,2.17608724723887,"Glutamatergic","Grik2"
"Sf1",-0.463844716543354,8.13470376838515,-4.51614763658652,8.90794990364018e-06,6.11186646697101e-05,2.92755449809678,"Glutamatergic","Sf1"
"E330009J07Rik",-0.452218109851949,7.82452949591102,-4.86177703402165,1.83782892110314e-06,2.24939260468185e-05,4.63920990209426,"Glutamatergic","E330009J07Rik"
"Unc80",-0.426807511607182,9.11404640512405,-3.39937251220687,0.000762140077725621,0.00253472211935842,-1.07081010467233,"Glutamatergic","Unc80"
"Kat6b",-0.426149301592266,8.14432808801623,-3.74860541724892,0.000211456734715937,0.000825202481303328,0.348624055441005,"Glutamatergic","Kat6b"
"Amer2",-0.42551738133321,7.77273334497517,-4.72214110662364,3.51617342490578e-06,3.45377835278937e-05,4.108258384416,"Glutamatergic","Amer2"
"Setd7",-0.420296204675156,7.76134088388877,-5.65938067100177,3.41287183426746e-08,1.11548530554846e-05,8.27546346431092,"Glutamatergic","Setd7"
"Etfdh",-0.419334456751243,7.62100357820197,-5.73964465331369,2.2272705703052e-08,1.11548530554846e-05,8.81736775526969,"Glutamatergic","Etfdh"
"Magi1",-0.408153107595172,8.07732057302737,-3.6815557004204,0.000272597466751343,0.00103313387398887,0.18636834801789,"Glutamatergic","Magi1"
"Gm20045",-0.407009859712481,7.67219408807363,-4.57065148766212,6.98807502253878e-06,5.14977060219524e-05,3.52685513297823,"Glutamatergic","Gm20045"
"Tusc3",0.406341042494468,8.83856982338771,3.48528956092861,0.000561207116943172,0.00194933087753509,-0.749371349968494,"Glutamatergic","Tusc3"
"Rfx7",-0.406157579230245,7.9409496511329,-3.6747320308407,0.000279677151702806,0.00105805919364649,0.219079334812906,"Glutamatergic","Rfx7"
"Agk",0.40520838301588,7.89103451168549,3.6413800564785,0.000316841660827625,0.00118285411106135,0.126547107716632,"Glutamatergic","Agk"
"Ssh3",-0.405074892010322,7.66239678632496,-5.97856554270714,6.08727940744815e-09,1.11548530554846e-05,9.98278091172129,"Glutamatergic","Ssh3"
"Hltf",-0.403829996077373,7.77858613364329,-4.48876024474484,1.00546815229867e-05,6.62394321004275e-05,3.17023129857152,"Glutamatergic","Hltf"
"Slc30a5",-0.402052100626597,7.82507301979813,-4.2387398378736,2.95514131225315e-05,0.000150376143438255,2.18885958284868,"Glutamatergic","Slc30a5"
"Kctd4",-0.400698837326598,7.71496217548383,-4.93518665014672,1.29890233838558e-06,1.78573776207704e-05,5.04601590948178,"Glutamatergic","Kctd4"
"Wdr13",-0.400600164018439,7.90121166248288,-3.77952732700244,0.00018785063874923,0.000744926691339526,0.565540031230167,"Glutamatergic","Wdr13"
