DEG_experiment,GABAergic,Glutamatergic,Non-neuronal
sig_DEGs_1_AllcellsVsAllcells_from_MUTPCB_WTPCB,16768,15942,11166
sig_DEGs_11_WTcellsVsMUTcells_from_MUTPCB_MUTVEHICLE,12719,10013,225
sig_DEGs_12_MUTcellsVsWTcells_from_MUTPCB_MUTVEHICLE,12798,7515,307
sig_DEGs_2_AllcellsVsAllcells_from_MUTPCB_MUTVEHICLE,14775,10975,649
sig_DEGs_4_WTcellsVsWTcells_from_MUTPCB_WTPCB,16768,15942,11166
sig_DEGs_5_WTcellsVsWTcells_from_MUTPCB_WTVEHICLE,2027,17677,7032
sig_DEGs_6_AllcellsVsAllcells_from_MUTVEHICLE_WTVEHICLE,14566,17835,6041
sig_DEGs_7_WTcellsVsWTcells_from_MUTVEHICLE_WTVEHICLE,14566,17835,6041
sig_DEGs_8_WTcellsVsWTcells_from_MUTVEHICLE_WTPCB,14326,15257,8387
sig_MUTcellsVsMUTcells_from_HETPCB_HETVEHICLE_DEGs,136,425,0
sig_WTcellsVsWTcells_from_HETPCB_HETVEHICLE_DEGs,6569,7124,336
sig_WTcellsVsWTcells_from_WTPCB_WTVEHICLE_DEGs,3186,5083,0
