"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"Slc38a1",0.399996804117305,7.99183095930006,5.3368055912291,1.32697988813998e-07,0.000517688028860609,6.84601077439413,"Glutamatergic","Slc38a1"
"Rps29",0.398119199227102,7.92783628156684,5.17654843041986,3.05506024457297e-07,0.000794570251942688,6.16789175919278,"Glutamatergic","Rps29"
"Nrbp2",-0.396770733339848,7.77105573931317,-5.74433735763089,1.44464977423569e-08,0.00022543759726948,9.07372295215987,"Glutamatergic","Nrbp2"
"Ndufb5",0.38404795592472,8.17972453400933,4.76136428432045,2.39427656330121e-06,0.00212658236482292,4.04822587997819,"Glutamatergic","Ndufb5"
"Ndufa3",0.36618499524735,8.14566972892873,4.91860471129923,1.11702004734418e-06,0.00145259148656716,4.73921591105237,"Glutamatergic","Ndufa3"
"Cacna1b",0.354572916372938,7.88040625576081,4.51379234480931,7.61675637964962e-06,0.00475437933217729,3.38254159751258,"Glutamatergic","Cacna1b"
"Klhl2",0.354566411444599,7.86860357626478,4.75629728936017,2.45296267650192e-06,0.00212658236482292,4.39279710274556,"Glutamatergic","Klhl2"
"Prune2",0.331300165206401,7.80317079769722,4.99526355031047,7.64364672578447e-07,0.00114370418862098,5.47367133331861,"Glutamatergic","Prune2"
"Mical3",0.330214211663248,8.11100967177408,4.041024223305,5.9884185252893e-05,0.0120265346214444,1.45372471695775,"Glutamatergic","Mical3"
"U2af2",0.329628105806061,7.64785436609352,5.51883500727172,5.0132816641313e-08,0.000391161301843845,8.02929616774676,"Glutamatergic","U2af2"
"Plpbp",0.325185708577521,8.10733127142554,3.574054073636,0.000378723804104504,0.0290289374237404,-0.0822025926782066,"Glutamatergic","Plpbp"
"Uqcrh",0.322824586673006,8.22695952561644,3.97367621045871,7.90641290516755e-05,0.0134108231940369,1.10942614808989,"Glutamatergic","Uqcrh"
"Ube2k",0.318658972737015,8.16340877174225,3.99791852259045,7.15720988390116e-05,0.012837731061871,1.25232235791779,"Glutamatergic","Ube2k"
"Rpl9-ps6",0.317885327681578,8.41681804528203,4.12687911099553,4.1781226683598e-05,0.0102046741615053,1.45507121553463,"Glutamatergic","Rpl9-ps6"
"Mapk10",-0.317736821872458,8.86766767794761,-3.81056597260957,0.000152422970837701,0.0193378899180677,0.236048668988428,"Glutamatergic","Mapk10"
"Stxbp5",0.31745538253576,7.97629750929551,4.21132069932677,2.91400200744873e-05,0.00812017880825667,2.16005525678379,"Glutamatergic","Stxbp5"
"Ptn",0.317409780295391,8.70482973411513,3.55284364768344,0.000409942225308394,0.0298932169436331,-0.436651289973011,"Glutamatergic","Ptn"
"Ube2l3",0.316917061463069,7.81429025468189,5.10304961753376,4.44588377288133e-07,0.000867225203447665,5.95463054180485,"Glutamatergic","Ube2l3"
"Sept3",0.315472371698148,8.11250914044678,3.89589652152983,0.000108438690356984,0.0157806286715391,0.956330355337358,"Glutamatergic","Sept3"
"Sept11",-0.313774326217651,8.54534466930998,-3.66170174808145,0.000271857402128837,0.0252012383080478,-0.0393553194753338,"Glutamatergic","Sept11"
"Kcna1",0.31122938914015,8.0284666753884,3.76812645664087,0.000180117266242256,0.0206832159707171,0.576074062819243,"Glutamatergic","Kcna1"
"Rpl34",0.310694630666687,8.19518355889825,4.0602633681467,5.5274395800361e-05,0.0117200614768438,1.41909253418761,"Glutamatergic","Rpl34"
"Psmd7",0.30601862772329,8.04955355100009,4.12647948969809,4.18519158177726e-05,0.0102046741615053,1.80284161880922,"Glutamatergic","Psmd7"
"Uba52",0.305381956466642,8.64524110674096,3.63828174477627,0.000297236659350127,0.0262055258144562,-0.174837323724062,"Glutamatergic","Uba52"
"Ralgapb",0.304862356723614,7.92255493372188,3.93773856881372,9.15505872806737e-05,0.0147283187063393,1.18828893215658,"Glutamatergic","Ralgapb"
"5330434G04Rik",-0.303910316262138,9.20426810994507,-3.5005164591656,0.000497565978558247,0.0329004961669553,-0.748569860377365,"Glutamatergic","5330434G04Rik"
"Car11",0.303458074178028,8.15765327551929,3.81278806269617,0.000151089801618716,0.0193258717562301,0.646019220424173,"Glutamatergic","Car11"
"Abca5",0.303135588174865,8.28642001646267,3.73313363356949,0.000206452202511623,0.0228488412779707,0.286560465282888,"Glutamatergic","Abca5"
"Srek1",0.302979451237663,9.14369179099112,3.66382156569117,0.000269663635653029,0.0252012383080478,-0.307983100060565,"Glutamatergic","Srek1"
"Mib1",0.302757112562437,7.93003595473548,4.24159223436698,2.55699557891915e-05,0.00750237332358435,2.29457802506492,"Glutamatergic","Mib1"
"Paip2",0.30232476364035,8.11189690685485,4.34097081227793,1.65558398174226e-05,0.00679878632502315,2.5227735756721,"Glutamatergic","Paip2"
"Gm28928",-0.297448157351933,8.76679538761667,-3.45046737966058,0.000597492137719176,0.0353176697314687,-0.7232615403769,"Glutamatergic","Gm28928"
"Itgb1",0.296609449192891,7.97336366064441,3.97756722863899,7.7813514071876e-05,0.0133437350229849,1.31386651406496,"Glutamatergic","Itgb1"
"Ndufv3",0.296168784470832,7.95788410592065,4.39926813385336,1.27782400713551e-05,0.00623138863479676,2.88664920723409,"Glutamatergic","Ndufv3"
"Fam135a",0.291884204570031,7.81844404614549,4.34258396752501,1.64382674405254e-05,0.00679878632502315,2.72327391019534,"Glutamatergic","Fam135a"
"Cdc123",-0.290107917895257,7.94826558693216,-4.24926515575451,2.47336294590418e-05,0.00744946944861695,2.29899259549745,"Glutamatergic","Cdc123"
"Dctn3",0.282992293576099,8.02543345048027,4.12809956950521,4.15660417038876e-05,0.0102046741615053,1.82652383920505,"Glutamatergic","Dctn3"
"Secisbp2l",0.282877411737823,8.07865678179119,3.90960319368196,0.000102606079610273,0.0155592983644664,1.02432244728802,"Glutamatergic","Secisbp2l"
"Rpl22",0.280884677728123,7.82453830188572,4.25445572288461,2.41827342385752e-05,0.00744946944861695,2.37901849706097,"Glutamatergic","Rpl22"
"Eif2s2",0.276974036378153,8.18748139982347,3.83068872655989,0.000140744451657483,0.0188273891880732,0.666152556774215,"Glutamatergic","Eif2s2"
"Gys1",0.27507806501754,7.6459096488437,4.87188137497202,1.40414326789842e-06,0.00168551197658114,4.9762934342498,"Glutamatergic","Gys1"
"Cep290",0.274508220198916,7.92482981939566,3.54886545663412,0.000416059494783671,0.0300583722967555,-0.118159318606148,"Glutamatergic","Cep290"
"Pdcd11",-0.27382896700807,7.64843987862988,-4.68314700756861,3.47093016186337e-06,0.00270819325879389,4.15339084509402,"Glutamatergic","Pdcd11"
"Calb1",0.273347162970535,7.81670709365608,4.03957099010217,6.02468227930194e-05,0.0120265346214444,1.5725083340343,"Glutamatergic","Calb1"
"Lage3",-0.273164509531798,7.86330678742592,-4.09428622368765,4.79356973738687e-05,0.0114221609024196,1.76646307444172,"Glutamatergic","Lage3"
"Rps17",0.271648075444655,7.94616417648484,4.02128150046747,6.49926538493176e-05,0.0125211155965259,1.47700281338862,"Glutamatergic","Rps17"
"Tmbim4",0.26917906571498,7.86661719105092,4.22980938658808,2.69069470294848e-05,0.00763423469809291,2.27249921907645,"Glutamatergic","Tmbim4"
"Gtpbp2",-0.269170205790797,7.95015030638684,-3.66472784052682,0.000268730830896895,0.0252012383080478,0.253163965496018,"Glutamatergic","Gtpbp2"
"Atp9a",0.267911825336823,8.04673902547469,3.40560301543633,0.000702687082778559,0.0381398494680881,-0.576246088693258,"Glutamatergic","Atp9a"
"Slc30a9",0.266834819398367,8.03345390275571,3.61614749895826,0.00032325276878664,0.0275372065039753,0.080506897226793,"Glutamatergic","Slc30a9"
"Ap2a1",0.265964539948432,7.91027916488923,3.62002837952379,0.000318541996177279,0.0274632477919693,0.111748738571557,"Glutamatergic","Ap2a1"
"Cntnap5a",0.265308611863915,8.18468050555554,3.37205939967506,0.000792345475441427,0.040407029883214,-0.72570587839074,"Glutamatergic","Cntnap5a"
"Tmem199",0.264038202235748,7.79911693845381,3.99943173091839,7.11274995953679e-05,0.012837731061871,1.42686861648686,"Glutamatergic","Tmem199"
"Nr3c1",0.263274114022201,8.08963921690421,3.39189640679297,0.000738116397766444,0.0394462547504978,-0.624317252772853,"Glutamatergic","Nr3c1"
"Sf3b3",0.262442730249917,8.07097911466583,3.33947211332465,0.00088954124866157,0.0423915430296345,-0.77577141765139,"Glutamatergic","Sf3b3"
"Ramp1",0.262018723844532,8.02907774651342,3.44229404539511,0.000615489465315363,0.0358644436380247,-0.460065120869655,"Glutamatergic","Ramp1"
"Cdh12",0.261819442905502,8.07422561564774,3.43677202820172,0.00062793356009026,0.0360762660544184,-0.486547294357448,"Glutamatergic","Cdh12"
"St13",0.26118723549537,8.16101760067238,3.49150236509953,0.00051432394809301,0.033722794999964,-0.356802128708345,"Glutamatergic","St13"
"Gnb1",0.260038334201088,7.94872989630756,3.31658863025405,0.000964294596935047,0.0434458255842891,-0.834514802253193,"Glutamatergic","Gnb1"
"Clu",0.259462430380306,7.94479447370918,4.3659427661117,1.48226902975734e-05,0.00660880234553237,2.76376544201751,"Glutamatergic","Clu"
"Ric1",0.257074801527943,7.78888480153117,3.86647128212206,0.000122036173745083,0.0170033436722501,0.950082133763783,"Glutamatergic","Ric1"
"Eif3c",0.25644845885531,8.19815466881873,3.24104443105477,0.00125449212859382,0.0484624906117974,-1.08914635275416,"Glutamatergic","Eif3c"
"Ppp1r12b",0.255526350851541,7.88134979664301,3.49827911453459,0.000501677109673128,0.0330323683394479,-0.279798065022904,"Glutamatergic","Ppp1r12b"
"Vti1a",-0.255191960297546,7.88426702443127,-3.66019367733707,0.00027342827689637,0.0252012383080478,0.244810710864349,"Glutamatergic","Vti1a"
"Stox2",-0.254820247152327,7.85649192014047,-4.0107535863541,6.78831388975315e-05,0.0127628479818793,1.45807207761105,"Glutamatergic","Stox2"
