"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"AC068205.1",-0.463454115888723,7.39323688250268,-15.7603933174772,2.26789487569619e-52,4.69749065602952e-48,107.747717356423,"GABAergic"
"LRRC37A2",-0.400522463373377,7.28363143985958,-14.3227227928815,4.88041375402816e-44,5.05440050435926e-40,89.0135982268094,"GABAergic"
"XIST",-0.484993216518951,9.68697460111912,-13.8914470970642,1.1696680760824e-41,8.0757782866316e-38,74.6812641302318,"GABAergic"
"NPTX1",-0.377039005455854,7.31579477060144,-13.1489822121378,1.06983688253006e-37,5.5398828369613e-34,74.6150080931309,"GABAergic"
"HLA-B",-0.338339219025864,7.27550276724552,-12.6820652803155,2.69483374149076e-35,1.11636182574996e-31,69.2062251767401,"GABAergic"
"EGR1",0.689057094727171,7.59024089699376,12.6551387099083,3.68851324833227e-35,1.27333624854511e-31,67.1463296471608,"GABAergic"
"TIMP1",-0.297514504441581,7.25736848923118,-12.6398142693044,4.4088735440551e-35,1.3045856816859e-31,68.731261267782,"GABAergic"
"FAM66A",-0.252125095212809,7.22494127417212,-12.3727844116102,9.59384728772664e-34,2.26020891646319e-30,65.7110602191667,"GABAergic"
"AC011043.1",-0.255249820299059,7.20580127393883,-12.3707390827944,9.82082761945093e-34,2.26020891646319e-30,65.6980966622377,"GABAergic"
"TLL1",-0.256206236549412,7.23366626133503,-11.5994925404986,5.27057386190949e-30,1.09169396401731e-26,57.241532679952,"GABAergic"
"INHBA",-0.299472760353445,7.23705412477018,-11.5687519980588,7.35115332293122e-30,1.30337140879294e-26,56.9135824252255,"GABAergic"
"NRP2",-0.290633138919412,7.29792923620346,-11.5662703723431,7.55103408753694e-30,1.30337140879294e-26,56.8603499891499,"GABAergic"
"AC107982.3",-0.181821098199317,7.16660691005096,-11.4490472861422,2.66659390135679e-29,4.24870457529255e-26,55.6579804201468,"GABAergic"
"AC231981.1",-0.176596209541085,7.16838220650887,-11.3770655352134,5.75567733928617e-29,8.51552462347388e-26,54.9007104920445,"GABAergic"
"PCDHA9",-0.315941545419838,7.25396868024412,-11.3698693208806,6.21446029074844e-29,8.58134106681816e-26,54.8094959188049,"GABAergic"
