"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"CDH13",-0.840522488425628,7.95428760233488,-27.07408748438,1.91559935927888e-148,4.25550397663803e-144,327.847380746338,"Glutamatergic","CDH13"
"MEG8",-0.70592479805694,8.28843369109636,-21.374259758179,4.24344045059098e-96,1.34668613728398e-92,207.933813314966,"Glutamatergic","MEG8"
"EGR1",0.704591790102854,7.82481645645822,21.2699070680352,3.14653825207352e-95,7.76670525220146e-92,205.848646940262,"Glutamatergic","EGR1"
"SPARCL1",-0.624265777582629,9.18420803236544,-15.1664943340266,1.43876756204997e-50,1.68222217847054e-48,103.835592409011,"Glutamatergic","SPARCL1"
"XIST",-0.623752107275745,9.74560317306913,-19.8437719582944,1.1114133776536e-83,1.54312801153593e-80,178.617618582663,"Glutamatergic","XIST"
"AC098850.3",-0.621665579362458,7.87397940511539,-21.3533352971091,6.34543171802601e-96,1.76204707019935e-92,207.708648031653,"Glutamatergic","AC098850.3"
"NQO2",-0.614544141753965,7.97637279650758,-20.7653899000879,4.53654493990941e-91,1.00779345840088e-87,196.567783148143,"Glutamatergic","NQO2"
"CCDC144A",-0.591535344161179,7.89244003229116,-20.3297634599205,1.52482159082764e-87,2.82282597001967e-84,188.534584783359,"Glutamatergic","CCDC144A"
"FAM153C",-0.578510627346843,7.88757511893776,-20.0608028456964,2.13946576897027e-85,3.16854880384497e-82,183.61612937787,"Glutamatergic","FAM153C"
"ARPP19",0.576019273776119,9.05839842127265,15.3879355387333,5.79996940074919e-52,8.0528950148527e-50,106.887280914911,"Glutamatergic","ARPP19"
"NIPAL2",-0.572139598122442,7.78248156453464,-23.6687255156991,4.6099043043382e-116,5.12045120604366e-112,253.803036172266,"Glutamatergic","NIPAL2"
"ANO3",0.557999204084023,8.20381744924491,15.4174640519114,3.76806957639712e-52,5.2979535214976e-50,107.56622384348,"Glutamatergic","ANO3"
"NPIPA1",-0.549304962250436,7.99542644584124,-18.6032311498808,3.60036159064888e-74,3.07623202831788e-71,157.93761460266,"Glutamatergic","NPIPA1"
"NPIPB5",-0.547568990487038,8.36506213866891,-16.9219476272849,4.16078665609446e-62,1.49083670266352e-59,130.318615570819,"Glutamatergic","NPIPB5"
"AHI1",-0.540342741373872,8.98020176732527,-15.9907380574598,7.53917961132834e-56,1.40741911819882e-53,115.887220253677,"Glutamatergic","AHI1"
"AJ009632.2",-0.534833037636783,7.58354047690391,-22.4235636951661,4.93083740814547e-105,2.73846382554879e-101,228.626966146498,"Glutamatergic","AJ009632.2"
"LRRFIP1",-0.530281795948618,8.05524965928053,-16.6538263023793,2.83455265275324e-60,8.62597084670044e-58,126.193453860215,"Glutamatergic","LRRFIP1"
"ARPP21",0.529920668253496,9.12993251198644,15.2379335785916,5.12906259774334e-51,6.26055635213563e-49,104.723233864408,"Glutamatergic","ARPP21"
"QKI",-0.52827119671229,7.70078496582395,-15.4279973236377,3.23018380967606e-52,4.57060721859578e-50,107.821685299029,"Glutamatergic","QKI"
"MROH1",-0.525093184645725,7.85395543582427,-18.5624512242331,7.24965469696915e-74,5.9648547812285e-71,157.269617316496,"Glutamatergic","MROH1"
"AC068205.1",-0.522143481427894,7.49807958293483,-23.1988148688112,7.57420310857421e-112,5.6086974018992e-108,244.253600030365,"Glutamatergic","AC068205.1"
"DGKG",-0.520678459071171,7.59704977294156,-19.7884857309309,3.02317908316012e-83,3.73110685180011e-80,178.762656372124,"Glutamatergic","DGKG"
"NPTX2",-0.520406799713724,7.76327407283529,-17.2562106335623,1.987915817687e-64,9.01256120202381e-62,135.714451472636,"Glutamatergic","NPTX2"
