"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"PCP4",0.671383740061115,8.26427677810848,31.2170817387881,2.84898264041836e-196,5.95437371847437e-192,438.151317680693,"Non-Neuronal"
"APOC1",0.522337306058942,8.22992521436893,26.5339300930386,1.27562810828327e-145,1.33303137315602e-141,321.878070392683,"Non-Neuronal"
"HSPA1B",-0.787731923650176,8.63977759161284,-25.2138796368284,1.85772502760227e-132,1.29421510256291e-128,291.331961262131,"Non-Neuronal"
"LRP2",-0.539793970233372,8.39766431262825,-23.4864342504736,4.97017331608867e-116,2.59691555765633e-112,253.961107512291,"Non-Neuronal"
"DNAJB1",-0.86692532280569,8.79924591111491,-23.2474586393174,7.86155546741349e-114,3.28613018537884e-110,248.43184500316,"Non-Neuronal"
"HSPH1",-0.895555682934349,8.92854341426679,-23.073912188122,3.02790807394003e-112,1.05472131242244e-108,244.506542538756,"Non-Neuronal"
"HSPA1A",-0.992534026190723,8.97111769277469,-22.5299924829092,2.44394286570473e-107,7.29691512760411e-104,233.122986023367,"Non-Neuronal"
"XIST",-0.659411773909332,10.5914770527651,-21.0651259731953,1.32468206228746e-94,3.46073188772599e-91,192.603493487963,"Non-Neuronal"
"CHORDC1",-0.681249124637976,8.81018600038235,-20.0851590658792,1.73596109251661e-86,4.03128742595525e-83,186.006789297305,"Non-Neuronal"
"HSP90AA1",-0.773859387001721,10.0327945261278,-18.8514211535388,9.73620034157392e-77,2.03486587138895e-73,159.192448304393,"Non-Neuronal"
"DST",-0.648737809334907,10.3127931997981,-18.332330385343,8.51592754983833e-73,1.61802623446928e-69,148.474326832804,"Non-Neuronal"
"PENK",0.242060649143999,8.12241688792905,17.6493203055287,9.33328438606676e-68,1.62554703057329e-64,143.135456665587,"Non-Neuronal"
"APOE",0.72778189205553,9.14361884991135,17.4578290189376,2.25314976670037e-66,3.6223715480029e-63,139.292409067159,"Non-Neuronal"
"MIS18BP1",0.314461474546647,8.18076333283847,17.4360357766932,3.23083576020679e-66,4.823176242023e-63,139.636992606818,"Non-Neuronal"
"P2RY12",0.381799582462989,8.21083498807537,17.2381371654156,8.37068667123217e-65,1.16631567619168e-61,136.417561933568,"Non-Neuronal"
"MOBP",-0.661823746092072,9.00526482613327,-17.1871078713008,1.92712587875071e-64,2.51730817911811e-61,135.481949999236,"Non-Neuronal"
"CD74",0.46467693592637,8.29494509555895,16.929317139975,1.25851286258822e-62,1.54723051929964e-59,131.488312468323,"Non-Neuronal"
"PPP1R1B",0.325330773775891,8.26392658369986,16.9208825163661,1.4415479944301e-62,1.67379739353272e-59,131.323091221668,"Non-Neuronal"
