"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"AC149090.1",-0.282803573591998,9.97648796047273,-12.6570502783608,2.58138528313459e-36,2.3370571660859e-32,64.8832165093458,"Glutamatergic","AC149090.1"
"Ttr",0.266897973448753,7.72369282223366,19.1747763309646,6.95007584434752e-80,1.258450233136e-75,170.847510534639,"Glutamatergic","Ttr"
"Pde1a",-0.257793947631361,9.07093868961667,-8.93256908125607,5.26121371426927e-19,1.05849774138082e-15,31.3808238213478,"Glutamatergic","Pde1a"
"Ahi1",-0.240655421234953,9.86079873845388,-9.99584945597392,2.28903885120987e-23,1.03619066197143e-19,38.8375093903491,"Glutamatergic","Ahi1"
"Lmo4",-0.227913712803176,8.61323559936795,-8.55165978086028,1.47805764363847e-17,2.43301725030561e-14,28.7792467876093,"Glutamatergic","Lmo4"
"Brd9",-0.173591767889434,8.77283298116962,-5.9841701663718,2.28371268664041e-09,9.39799673113587e-07,10.9146931107112,"Glutamatergic","Brd9"
"Gm28928",-0.173218457419917,8.66762294861783,-6.3789227444578,1.89854440588181e-10,1.18541184680351e-07,13.2687610089372,"Glutamatergic","Gm28928"
"mt-Co1",0.16540221239261,7.78069254964887,10.2155956023021,2.5126764264307e-24,1.51656773511269e-20,44.3483443056221,"Glutamatergic","mt-Co1"
"2010111I01Rik",0.164717596613,8.76370194864227,5.57894806186491,2.51139421047732e-08,2.85998836283728e-06,8.67034433412238,"Glutamatergic","2010111I01Rik"
"AY036118",0.163304074384376,8.17274582848725,6.60922071472788,4.15136331367696e-11,3.26820589220647e-08,14.7903471244259,"Glutamatergic","AY036118"
"Pcsk2",-0.16181783873056,9.10382435691228,-5.67137551052575,1.47378886610056e-08,2.28531378644263e-06,9.08479561523079,"Glutamatergic","Pcsk2"
"Mef2c",-0.159657262396141,10.3988763782173,-9.09678509067139,1.19677974680913e-19,3.0957272679247e-16,29.7657122173825,"Glutamatergic","Mef2c"
"Phf20l1",-0.157875017155218,9.38850117152575,-5.66407847106711,1.5375871465558e-08,2.32009087189049e-06,8.92499643247087,"Glutamatergic","Phf20l1"
"C1ql3",-0.157647028019166,8.32821956932862,-6.74432722910143,1.66172797504361e-11,1.36767765655067e-08,15.6677494373751,"Glutamatergic","C1ql3"
"Itm2b",0.153996550810536,8.99829096816384,5.39051259554924,7.25803038353405e-08,3.22716982094427e-06,7.63979095400337,"Glutamatergic","Itm2b"
