"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"Metap1d",-0.566164234393318,7.96742966276568,-4.77105104780703,2.8230380965856e-06,0.0103323194335033,3.95615217202047,"Glutamatergic","Metap1d"
"4931406P16Rik",0.489589464088406,7.98680330079448,4.17399898241497,3.88946756376882e-05,0.040672717952554,1.77803252528281,"Glutamatergic","4931406P16Rik"
"Tnfrsf21",0.485226881195199,7.81783979873516,5.02293043063354,8.59455313478567e-07,0.00419414192977541,5.15234329969359,"Glutamatergic","Tnfrsf21"
"Agk",-0.46932729414917,7.90878041505894,-4.21520687448253,3.27482647017804e-05,0.0372981588135733,1.98537243875262,"Glutamatergic","Agk"
"Atp9a",0.436674449448494,8.03514874180999,4.2642109178628,2.6643281877425e-05,0.0372981588135733,2.0519322087709,"Glutamatergic","Atp9a"
"Lats1",0.409872436029481,7.65238163097852,4.3373479006728,1.95128053339154e-05,0.0317763494619896,2.5555770686223,"Glutamatergic","Lats1"
"Rab11fip3",0.397253564260298,7.59479478536169,4.38103124558935,1.61677293639829e-05,0.0317763494619896,2.73887651025022,"Glutamatergic","Rab11fip3"
"Ube2ql1",0.37739182832006,7.59892248127168,5.17305512051479,4.13535510751081e-07,0.00302707993869791,5.99254998323616,"Glutamatergic","Ube2ql1"
"Marcks",0.374150347190143,7.75296542598047,4.09683738470906,5.347874667709e-05,0.0412067816501367,1.6395421824887,"Glutamatergic","Marcks"
"Agps",0.364528158832288,7.66575719653948,4.21251304623673,3.31199497661512e-05,0.0372981588135733,2.08805330476301,"Glutamatergic","Agps"
"Ciapin1",-0.35355116081771,7.57034677117063,-5.95415748080818,7.05659097810142e-09,0.000103308491919405,9.74106962334537,"Glutamatergic","Ciapin1"
"Pcsk1",0.334142214093082,7.77640471882728,4.11256518038458,5.01373967734345e-05,0.0412067816501367,1.68340697001783,"Glutamatergic","Pcsk1"
"Thumpd1",0.329298349711393,7.68994796237578,4.5947842209712,6.30409812381319e-06,0.018458399306525,3.52783530791047,"Glutamatergic","Thumpd1"
"Wdhd1",0.303529786623932,7.55674828750249,4.22787105303924,3.1053626906436e-05,0.0372981588135733,2.17211766624297,"Glutamatergic","Wdhd1"
"Gtf3c4",0.302530227815597,7.56503513800421,4.33708704795905,1.95346410626985e-05,0.0317763494619896,2.58089464548812,"Glutamatergic","Gtf3c4"
"Gpt2",0.286933647235623,7.60971792586398,4.1047405548372,5.17740722214504e-05,0.0412067816501367,1.70838977683774,"Glutamatergic","Gpt2"
"Sgpp2",0.283242262492487,7.60724567353408,4.11789298175399,4.90513099731631e-05,0.0412067816501367,1.75665097472654,"Glutamatergic","Sgpp2"
"Xpo5",0.263382344831357,7.63963238294628,4.13322518451653,4.60494462021682e-05,0.0412067816501367,1.80580309092444,"Glutamatergic","Xpo5"
"E130308A19Rik",0.262495489919191,7.54245601669701,4.42171077038905,1.35520876017465e-05,0.0317763494619896,2.90801975588928,"Glutamatergic","E130308A19Rik"
"Atad3a1",1.23274473694114,7.89135001004586,5.81146889925777,9.07195119904914e-08,0.000336253391327889,7.27063570302749,"GABAergic","Atad3a1"
"Enpp21",1.05269414459343,7.78771174320808,6.40032916646547,6.65651901142358e-09,8.38521699869028e-05,9.79428280370986,"GABAergic","Enpp21"
