"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"Lars2",-0.56579082173284,9.27391994693537,-27.3460453936336,5.7237625837518e-160,1.05923950374911e-155,349.460332212626,"Glutamatergic","Lars2"
"Ckb",0.337355119536182,8.87134143222484,15.850864971993,4.85819445260676e-56,5.99371643599605e-53,115.773223053684,"Glutamatergic","Ckb"
"Rplp1",-0.335875056959903,8.87058077850948,-17.0450961106931,2.02197054480732e-64,6.23643115036738e-61,134.878060413229,"Glutamatergic","Rplp1"
"Sgcz",0.33175945755503,8.5635382610303,15.7916829081942,1.22103894119421e-55,1.41228416535876e-52,115.21939601359,"Glutamatergic","Sgcz"
"Osbpl1a",0.320584861413968,8.82412980020954,14.8216307830875,2.77631619831432e-49,1.83494669878589e-46,100.571551960662,"Glutamatergic","Osbpl1a"
"Ly6h",-0.317696722433679,8.82744413334421,-16.1867592858998,2.44219211581611e-58,3.22822909252093e-55,121.168770979906,"Glutamatergic","Ly6h"
"Pak7",0.314982865762865,8.46856422712061,14.7997518363521,3.82296484031112e-49,2.43957887361371e-46,100.573846143461,"Glutamatergic","Pak7"
"A830036E02Rik",0.305521415917116,8.68818034173748,13.6288920271693,5.3734509754523e-42,2.20980186114934e-39,84.2316140133341,"Glutamatergic","A830036E02Rik"
"Scn1a",0.302595198798237,8.84375895373969,13.901814480841,1.30195903533205e-43,6.02351347696372e-41,87.7680503799606,"Glutamatergic","Scn1a"
"Dynll1",-0.293396149489228,8.92986267032285,-14.9927863827236,2.23798644361381e-50,1.65664708502069e-47,103.048691865932,"Glutamatergic","Dynll1"
"Slc1a2",0.290360718296098,9.11532042162687,12.755413436831,4.94337198080765e-37,1.49970560453814e-34,72.7228133697796,"Glutamatergic","Slc1a2"
"Mef2c",0.275054455642179,10.1355569694506,14.7633014832912,6.50764850023919e-49,4.01435143818088e-46,97.5795207469108,"Glutamatergic","Mef2c"
"Tmsb4x",-0.269056306068579,9.01759235504221,-13.1469878707755,3.22015996586066e-39,1.08349600596759e-36,77.7982458893597,"Glutamatergic","Tmsb4x"
