"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"AC149090.1",-0.29892394056499,9.95527139311455,-18.6239836383021,1.77336423953733e-76,1.63353446924981e-72,157.453749591252,"Glutamatergic","AC149090.1"
"Ttr",0.276938255406577,7.72274144074092,27.5355323457297,1.56456099566393e-162,2.88239072231167e-158,360.547007257047,"Glutamatergic","Ttr"
"Pde1a",-0.256179417135712,9.0797167888846,-12.6260494251005,2.40933235163551e-36,7.39785498569682e-33,70.9466513303042,"Glutamatergic","Pde1a"
"Ahi1",-0.244769084677378,9.8574126465447,-14.3765801124482,1.57356018000859e-46,9.66323306543276e-43,92.0860965742594,"Glutamatergic","Ahi1"
"Lmo4",-0.21106401484097,8.61187686021059,-11.1834593468071,6.54153614392633e-29,1.20514720379555e-25,54.6329502871902,"Glutamatergic","Lmo4"
"Opcml",-0.190202834853434,9.70812464978519,-10.5560268609309,5.9823700731181e-26,7.87237170407534e-23,47.1462210876548,"Glutamatergic","Opcml"
"Gm28928",-0.179275959204453,8.66526651503471,-9.45627061144639,3.69818860511808e-21,3.78509603733836e-18,37.1934619598295,"Glutamatergic","Gm28928"
"2010111I01Rik",0.176563659909561,8.766930538441,8.48596685555952,2.35534767396358e-17,1.44641900658103e-14,28.6524751182842,"Glutamatergic","2010111I01Rik"
"Brd9",-0.16911598886235,8.77525115780277,-8.27035523985206,1.45689779834776e-16,8.13346307241233e-14,26.9000683862948,"Glutamatergic","Brd9"
"AY036118",0.164745847027095,8.17816198045554,9.30842654901192,1.49019836683271e-20,1.44494339537679e-17,35.8438418449021,"Glutamatergic","AY036118"
"Itm2b",0.157421385779948,9.00003731762291,7.80354435573155,6.45026386832508e-15,3.04700541656802e-12,23.1984788115426,"Glutamatergic","Itm2b"
"C1ql3",-0.145222009078866,8.31944656566334,-8.91531322763895,5.46738509260721e-19,4.57843798005012e-16,32.3164272496599,"Glutamatergic","C1ql3"
"Fnbp1l",-0.14444876032942,8.84621253463499,-7.05043829143823,1.86832495075657e-12,4.9171643668269e-10,17.7622673156403,"Glutamatergic","Fnbp1l"
"mt-Co1",0.14253984384246,7.77285975475364,12.7049002904982,8.9231341895771e-37,3.28781802349158e-33,72.4615060376124,"Glutamatergic","mt-Co1"
"Ckb",0.138064430525368,9.005911074328,6.85093985128589,7.64749507678672e-12,1.65752707999579e-09,16.4079940419629,"Glutamatergic","Ckb"
"Cck",-0.13746523447456,9.27079731705892,-6.70013348658764,2.16301978334454e-11,4.19466457563752e-09,15.4016799104053,"Glutamatergic","Cck"
"Ogt",-0.135834962042155,9.41994569194169,-6.93299811631875,4.30322504823092e-12,1.00352297548808e-09,16.91822815209,"Glutamatergic","Ogt"
"Mef2c",-0.135675694167588,10.3870428272721,-10.689291320307,1.45127799087277e-26,2.05668418660377e-23,47.4766954975398,"Glutamatergic","Mef2c"
"Ly6h",-0.13379749352567,8.72459502399143,-7.05638624096961,1.79038433459783e-12,4.9148623157821e-10,17.7972057435627,"Glutamatergic","Ly6h"
"Uqcc2",0.132857411687922,8.19033796277561,7.79512075890378,6.8934629983417e-15,3.17495672046123e-12,23.0541724797933,"Glutamatergic","Uqcc2"
"Gabrb1",-0.130911916605374,8.72743791854494,-6.55978602340483,5.58052045171324e-11,8.86292485188906e-09,14.4850268643657,"Glutamatergic","Gabrb1"
"Lsamp",-0.126039351660783,8.68515507415999,-6.30361765264699,2.99623682705146e-10,3.16662766815899e-08,12.8629387973553,"Glutamatergic","Lsamp"
"Pcsk2",-0.125330218008523,9.08604252670197,-6.22481282816583,4.96086693007318e-10,4.21170744021835e-08,12.4229776794474,"Glutamatergic","Pcsk2"
"Psd3",-0.124491554548126,9.39837583754597,-6.39123823900917,1.6983539548932e-10,2.16292279592484e-08,13.4325559743953,"Glutamatergic","Psd3"
"Hpca",0.123266527062432,8.3731023070476,7.04109591249195,1.99751333345636e-12,5.18312509046008e-10,17.6438047676469,"Glutamatergic","Hpca"
"Ptn",0.123103355555774,8.62736730988027,6.15845278033825,7.54971569277107e-10,5.3910237289892e-08,11.9773127460539,"Glutamatergic","Ptn"
"Negr1",0.123061341016777,8.74680298806196,5.90015228407434,3.71675609740701e-09,9.64215859578942e-08,10.472623474789,"Glutamatergic","Negr1"
"Cox17",0.121887810889474,7.99351445292329,8.26408978536341,1.53508453612514e-16,8.31790070853927e-14,26.581523652888,"Glutamatergic","Cox17"
"5330434G04Rik",-0.12026847824459,9.18484219477685,-5.70978934005888,1.15446067098741e-08,1.10448890691969e-07,9.43763467747123,"Glutamatergic","5330434G04Rik"
"Scg5",0.119767478799274,8.74026935504526,6.02894482155459,1.69243888589977e-09,7.86761767102492e-08,11.2237458705784,"Glutamatergic","Scg5"
"Ntrk3",-0.119062600505449,8.61515288174772,-6.08312505204148,1.20977229767917e-09,6.84093869369011e-08,11.5059147317325,"Glutamatergic","Ntrk3"
"A830036E02Rik",0.118642084166352,8.79756107347304,5.4507855228481,5.10090993459492e-08,2.62644113261717e-07,7.9849428443439,"Glutamatergic","A830036E02Rik"
"Grin2b",-0.117686032922327,9.77463163770647,-6.66713756334549,2.70755963199848e-11,4.89033050003019e-09,15.09608778765,"Glutamatergic","Grin2b"
"Ntm",-0.116286642772607,9.18448760081662,-5.73389527416092,1.00205345520074e-08,1.08253093816151e-07,9.57220122209866,"Glutamatergic","Ntm"
"Fut9",-0.115329442067052,9.0001306698366,-5.65193215334755,1.61794231228402e-08,1.28757456670447e-07,9.09898275501356,"Glutamatergic","Fut9"
"Nrxn1",-0.115325952402856,10.0366049637018,-7.65016809331044,2.13976610342184e-14,9.08930748412559e-12,21.6840262545618,"Glutamatergic","Nrxn1"
"Gls",-0.115092938848107,9.18447424652956,-5.6013815723758,2.16713148814445e-08,1.49308389701141e-07,8.841260135506,"Glutamatergic","Gls"
"Ubb",0.112061840507751,8.9972209704502,5.70025615698373,1.22075525814464e-08,1.13014945330647e-07,9.37374209206866,"Glutamatergic","Ubb"
"Phf20l1",-0.110874045631109,9.3759599378354,-5.6065681090929,2.10335359975723e-08,1.47092265120452e-07,8.88009897658602,"Glutamatergic","Phf20l1"
"4930447C04Rik",-0.110709988244004,8.31692395119581,-6.44367020382412,1.20489282249377e-10,1.69448400525211e-08,13.5802711154036,"Glutamatergic","4930447C04Rik"
"Cux1",0.110674290039816,8.08302041317156,6.79880710336263,1.09824252477539e-11,2.22339802570736e-09,15.7399858433357,"Glutamatergic","Cux1"
"Gm47283",-0.109456437430354,7.79838245726138,-9.72856690869136,2.68622456435308e-22,2.91107736171039e-19,39.4723059547836,"Glutamatergic","Gm47283"
"Tcf4",-0.109194055160293,9.44429145274507,-5.60545430407416,2.11689431909002e-08,1.47407176192703e-07,8.87494278673056,"Glutamatergic","Tcf4"
"Gda",-0.108292879242853,8.64122817599785,-5.80176903398455,6.70580542208085e-09,9.9112583294553e-08,9.87126600202442,"Glutamatergic","Gda"
"Calb1",0.107832008832714,7.94765358467905,8.50970564358246,1.92187946055591e-17,1.2209236310973e-14,28.5838530070061,"Glutamatergic","Calb1"
"Kcna1",0.107628970767083,8.12151277805607,6.6782017978149,2.51147847792023e-11,4.62689679987244e-09,14.9716233009685,"Glutamatergic","Kcna1"
"Cadps2",0.107525813392428,8.02962533825916,6.9715547665849,3.27699226740879e-12,8.1583822354692e-10,16.8654473064629,"Glutamatergic","Cadps2"
"Pcsk1",-0.106772490880184,8.00926934243948,-8.67214509788985,4.70902014654267e-18,3.33670300614445e-15,30.0054049595202,"Glutamatergic","Pcsk1"
"Enpp2",0.106349981983128,8.59031711886341,5.28511650295987,1.27537580826373e-07,5.40640784989478e-07,7.05868160895869,"Glutamatergic","Enpp2"
"Arc",0.106280752318034,8.09958415485556,7.39167886901061,1.5332096757357e-13,5.70679815357417e-11,19.9121250525035,"Glutamatergic","Arc"
"C230004F18Rik",-0.106146101910062,9.68161183868265,-5.8388725265679,5.37371411765295e-09,9.84910982596961e-08,10.1503874432187,"Glutamatergic","C230004F18Rik"
"Rps26",0.105773128573095,8.09622255421138,6.30533222760034,2.96334796747138e-10,3.16662766815899e-08,12.5385890313089,"Glutamatergic","Rps26"
"Gm42418",0.103795863720922,10.5425821915713,6.82312272083035,9.27961165943801e-12,1.96503776553824e-09,15.7220476902712,"Glutamatergic","Gm42418"
"Scn1a",0.102633679041276,8.97077188231331,4.93869546334152,7.95671877757851e-07,2.66763657942364e-06,5.41626306163444,"Glutamatergic","Scn1a"
"Mdh1",0.101782070647186,8.74046163388728,5.43783738574286,5.48488530637966e-08,2.76692338443134e-07,7.90288257073743,"Glutamatergic","Mdh1"
"Luc7l2",-0.101050219047387,9.82254209044611,-5.90175786784352,3.68084738950944e-09,9.64215859578942e-08,10.4858549510119,"Glutamatergic","Luc7l2"
"Ypel3",0.100854056061442,8.74023148120665,5.08294411962133,3.7649113422004e-07,1.36618006021977e-06,6.07489569873683,"Glutamatergic","Ypel3"
"Akap6",0.100609919568694,8.82478634309687,5.08852827403956,3.65594246499985e-07,1.33135852999985e-06,6.12132954922847,"Glutamatergic","Akap6"
"Rbms1",0.0999702489407888,7.97741476579781,6.69501912402187,2.23978196274896e-11,4.29828157288793e-09,14.9253311120579,"Glutamatergic","Rbms1"
"Csmd3",-0.0992312769071422,8.62854278899717,-5.05855298822251,4.27874597365522e-07,1.53369600654188e-06,5.90439785183097,"Glutamatergic","Csmd3"
"Usp7",0.0990202839264658,8.16588014467841,5.74849996578249,9.19431232304235e-09,1.06298221016086e-07,9.27351523552,"Glutamatergic","Usp7"
"Cacna2d3",0.0989121313258998,8.45811736489669,5.01795392268224,5.28746817624238e-07,1.85192065039759e-06,5.66124574887878,"Glutamatergic","Cacna2d3"
"Col12a1",-0.0983914071702205,7.76507429610418,-8.81027246407014,1.39570801895344e-18,1.07138036804913e-15,31.0174611556151,"Glutamatergic","Col12a1"
"Cep112",-0.0981859208456637,7.77234603938507,-11.2027840134966,5.27052629159326e-29,1.07887673188914e-25,54.7266935048859,"Glutamatergic","Cep112"
"Snap25",-0.0974096378001903,10.2248597622879,-7.51817498757023,5.89658409371747e-14,2.36158192953385e-11,20.6177262772093,"Glutamatergic","Snap25"
"Abi3bp",0.0972741775912755,7.75244816987703,8.43894390008269,3.51818923408135e-17,2.09082581482196e-14,27.842029417298,"Glutamatergic","Abi3bp"
"N4bp2l2",-0.0967283046000524,8.92997276412408,-4.79656346704537,1.6309784908324e-06,5.13544979261754e-06,4.72196985983887,"Glutamatergic","N4bp2l2"
"Rmst",-0.0960350096661644,7.74374994907962,-10.3749125057864,3.98931995347987e-25,4.59345259393498e-22,45.8748407493846,"Glutamatergic","Rmst"
"Strbp",-0.0958997945775462,9.20936412735328,-4.67089126608685,3.02724973269456e-06,9.15179222603082e-06,4.19889964358854,"Glutamatergic","Strbp"
"Mrfap1",0.0958532645970269,8.0314622796481,7.64830746323382,2.17081652988941e-14,9.08930748412559e-12,21.7711813631063,"Glutamatergic","Mrfap1"
"Meg3",-0.0957182852090757,11.0530964452321,-11.4399539883867,3.61067643302023e-30,9.50278456079023e-27,53.5810299487129,"Glutamatergic","Meg3"
"Msi2",0.0954330566169244,8.00111126855422,6.4270714722529,1.34359639441569e-10,1.80236377225349e-08,13.1977108288332,"Glutamatergic","Msi2"
"Camk4",0.0953348784464136,8.52011848979087,4.86397790377991,1.16318867339742e-06,3.76284897805103e-06,4.93304101915455,"Glutamatergic","Camk4"
"Mgat4c",-0.0952498128819936,8.13653188798157,-6.05191299357696,1.46842577878634e-09,7.49725409420837e-08,11.000453953971,"Glutamatergic","Mgat4c"
"Rps21",0.0948656914353805,8.36756894244558,4.92852325924113,8.38152512073649e-07,2.79278056247655e-06,5.17611017670352,"Glutamatergic","Rps21"
"Snhg11",-0.0941713291039896,10.9004315310592,-11.1468348038317,9.8417157162047e-29,1.64830844217854e-25,50.9745233549409,"Glutamatergic","Snhg11"
"Usmg5",0.094082526972814,8.35080458621714,4.80182479646361,1.58876485681757e-06,5.01281297433638e-06,4.54041551586822,"Glutamatergic","Usmg5"
"Inf2",0.0939522219753783,7.86009386330332,7.19929165231228,6.36548406314263e-13,2.09413058741565e-10,18.2953253108707,"Glutamatergic","Inf2"
"Kcnq1ot1",-0.0938140803400866,9.58013422084354,-4.90998043990776,9.21274993078851e-07,3.04660728728983e-06,5.35095147102969,"Glutamatergic","Kcnq1ot1"
"Plcb4",0.0938103537384585,8.03956656450291,6.60863053821813,4.0212778778555e-11,6.67844438425771e-09,14.4184410120036,"Glutamatergic","Plcb4"
"Actb",0.0936855183084209,8.73327893848116,4.8534780150341,1.22641874380023e-06,3.95420240060057e-06,4.95407835396225,"Glutamatergic","Actb"
"Gabra1",0.0936718413816244,9.10556603348415,4.59642505799763,4.33613077710013e-06,1.27488888136795e-05,3.85312646055628,"Glutamatergic","Gabra1"
"R3hdm2",-0.0931856814597669,8.85063344475203,-4.58356179656577,4.61132143356262e-06,1.3512704751157e-05,3.72492269962667,"Glutamatergic","R3hdm2"
"Ap1s1",0.0930400176902211,8.04947993973331,7.02585559934549,2.22730383914171e-12,5.69911369840384e-10,17.2594077039779,"Glutamatergic","Ap1s1"
"Celf4",-0.0925530591966659,8.93590767841206,-4.51705461285695,6.32258201806656e-06,1.81944593125336e-05,3.45099578276175,"Glutamatergic","Celf4"
"Celf2",-0.0922672833826184,10.2395804417499,-7.17907737865788,7.37705078551705e-13,2.34323114864794e-10,18.2633039705503,"Glutamatergic","Celf2"
"Myo1b",0.0922422458389054,7.91417237292973,7.19055399625729,6.78482878219824e-13,2.19292808165681e-10,18.2814652213214,"Glutamatergic","Myo1b"
"Nptn",0.0921970412383057,9.36991752373252,4.69517099458707,2.68947658360941e-06,8.19656362280167e-06,4.34056147029264,"Glutamatergic","Nptn"
"Cntn4",-0.0918327515449651,8.54374545584021,-4.90369511783372,9.51210493756766e-07,3.13603273559071e-06,5.11573921801379,"Glutamatergic","Cntn4"
"Rere",-0.091493260252701,8.46413395903608,-4.86885539643329,1.13489495168176e-06,3.68296101723323e-06,4.91788067745645,"Glutamatergic","Rere"
"Srrm1",-0.0914763833959586,8.78956168244246,-4.52164416635242,6.18720666241583e-06,1.78327453600887e-05,3.42923110905965,"Glutamatergic","Srrm1"
"Sncb",0.0911236955856864,8.50552084152059,5.17475946077965,2.31405498181694e-07,8.92439500314287e-07,6.46545513857553,"Glutamatergic","Sncb"
"Zfpm2",-0.0907615716796055,7.90736347583223,-7.15890199596047,8.54356254331052e-13,2.6233008789235e-10,18.036265935077,"Glutamatergic","Zfpm2"
"Hsp90aa1",-0.090305504373065,9.01058691105282,-4.65816715001594,3.2201556172935e-06,9.68654284952122e-06,4.10226190294925,"Glutamatergic","Hsp90aa1"
"Atp1a1",0.0901279756455047,8.94468224609322,4.43263954244031,9.38045700611411e-06,2.63318847209569e-05,3.0959699586533,"Glutamatergic","Atp1a1"
"Ociad2",0.089988807272869,8.39477471442732,4.77810933038331,1.78773280112819e-06,5.60030630763215e-06,4.47101805362073,"Glutamatergic","Ociad2"
"Atp2b2",0.0899061021368563,9.0128236303913,4.3878212213568,1.15341386266706e-05,3.19394913451305e-05,2.92040458943636,"Glutamatergic","Atp2b2"
"Erc2",0.0889476442435413,8.59419072478497,4.48672097884574,7.29122644184228e-06,2.0803200362097e-05,3.22659108260193,"Glutamatergic","Erc2"
"Rcan2",0.0888558481950206,7.91566771852695,6.81689858948097,9.68908254040483e-12,2.0056400858638e-09,15.6880655280661,"Glutamatergic","Rcan2"
"Gria3",-0.0888483936281208,9.11389453502378,-4.31660018207552,1.59555167259566e-05,4.34064507741139e-05,2.6291584368633,"Glutamatergic","Gria3"
"Lamp5",0.0888338517378138,8.31054175783065,5.21333773142349,1.88150403353889e-07,7.4495914055205e-07,6.56009884384295,"Glutamatergic","Lamp5"
"Hbb-bs",-0.0884712587038212,7.88813079975788,-7.36374966324689,1.88938340167188e-13,6.5675680016983e-11,19.5003246767212,"Glutamatergic","Hbb-bs"
"Ldb2",-0.0883674811139272,8.23405576222313,-5.92482127528783,3.20083964220551e-09,9.54537322910321e-08,10.3463233485332,"Glutamatergic","Ldb2"
"Tshz2",-0.0883204416190582,7.69578538204565,-13.4013122984963,1.06704630581455e-40,4.91454852300537e-37,81.3742683500388,"Glutamatergic","Tshz2"
"Kcnj6",0.0880344502384869,8.42842716686263,4.81234307459982,1.50749989341335e-06,4.78756602936635e-06,4.65278368441475,"Glutamatergic","Kcnj6"
"Rims2",-0.0877082862310239,9.35401478984087,-4.3186928044502,1.58052064759101e-05,4.30229490108883e-05,2.68881968144225,"Glutamatergic","Rims2"
"Slc24a2",0.0876610974773264,9.11799876502777,4.19103906098803,2.79408973946151e-05,7.36311189673859e-05,2.12205883707706,"Glutamatergic","Slc24a2"
"Snrpn",0.0875373294770316,8.69334387612922,4.64723980860731,3.3951831327424e-06,1.01640329630343e-05,3.98129907221615,"Glutamatergic","Snrpn"
"Rock2",-0.0875362109157294,8.92358618465969,-4.26077245060661,2.05072588409253e-05,5.50415544327457e-05,2.34654760211004,"Glutamatergic","Rock2"
"Luc7l3",-0.087209847374897,9.11979131286105,-4.20769737464526,2.59617017638413e-05,6.86905689494827e-05,2.17916759298497,"Glutamatergic","Luc7l3"
"Mid1",-0.0871916541745339,7.70950313072932,-10.5180675107941,8.92731469144109e-26,1.09645279040279e-22,47.3326036099515,"Glutamatergic","Mid1"
"Ywhah",0.0871323792519778,8.76649652180284,4.57369027636416,4.8337757509816e-06,1.41263722494185e-05,3.67059939018289,"Glutamatergic","Ywhah"
