"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"AC149090.1",0.636879966314261,9.76291876767148,29.7049684201046,1.97105737267459e-184,6.04868643387676e-184,403.636666540965,"Glutamatergic","AC149090.1"
"Mef2c",0.490795224358328,10.1916720063007,24.5020652824155,4.26972591000737e-128,1.06236432685589e-127,275.171732677242,"Glutamatergic","Mef2c"
"Ptprd",0.366940899197042,10.1281463253406,20.1285687223393,4.9365500221327e-88,1.05291257012004e-87,186.019120456796,"Glutamatergic","Ptprd"
"Fnbp1l",0.364625244584134,8.73977735944931,14.6427729480328,5.86253639293724e-48,9.93700731113681e-48,97.9246248133704,"Glutamatergic","Fnbp1l"
"Zcchc7",0.364188474551703,9.43712806592242,15.5670328829874,6.92663959947997e-54,1.22606332933674e-53,110.787770574748,"Glutamatergic","Zcchc7"
"Sgcz",0.361703915740366,8.67876962997213,14.5741063359323,1.56624651213705e-47,2.64818361890821e-47,96.9839374248304,"Glutamatergic","Sgcz"
"N4bp2l2",0.359084365177234,8.79683760340043,14.4875734590186,5.37015693047047e-47,9.04642138562726e-47,95.7138314144639,"Glutamatergic","N4bp2l2"
"4930447C04Rik",0.353638105329816,8.17206287994018,17.17151099159,5.60007765833341e-65,1.0625030989981e-64,136.951112684302,"Glutamatergic","4930447C04Rik"
"Ahi1",0.343318405935362,9.78282136270543,16.3713821401873,2.54824348735214e-59,4.6738179139647e-59,122.542150961301,"Glutamatergic","Ahi1"
"Zranb2",0.33949322372535,9.52053380045201,15.0978116361953,7.80394782701789e-51,1.35123570445156e-50,103.821377167795,"Glutamatergic","Zranb2"
"Gm28928",0.33805193740452,8.54684370191418,14.243000190644,1.6834914437453e-45,2.80505454455109e-45,92.4197710043349,"Glutamatergic","Gm28928"
"Lars2",-0.337584580438538,9.16541675288919,-12.8472186965824,2.01178977819544e-37,3.13962428592048e-37,73.8497413651588,"Glutamatergic","Lars2"
"Homer1",0.337486725699934,8.7664788469132,13.4544456059126,7.69846569886397e-41,1.2367838974136e-40,81.7633550897025,"Glutamatergic","Homer1"
