"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"R3hdm2",0.651414224526517,8.84971292743138,4.4765263448958,1.20657419006592e-05,0.00319367504664602,1.98880786333346,"Glutamatergic","R3hdm2"
"Cspp1",0.52111966495235,8.85459546347927,3.50763237004076,0.000545939087551926,0.00476921602903386,-0.74440439584372,"Glutamatergic","Cspp1"
"2610507B11Rik",0.521104212350483,7.89829846557082,4.9576759891419,1.40553522457099e-06,0.00155943935419724,4.8029451011801,"Glutamatergic","2610507B11Rik"
"Homer1",0.509712431635311,8.80901157980147,3.45935017263872,0.00064778450393322,0.00532109210480188,-0.851143857147237,"Glutamatergic","Homer1"
"Mef2c",0.506769385736805,10.1390347941654,4.19315832314561,3.95902538185393e-05,0.00381738970046666,0.483972399526487,"Glutamatergic","Mef2c"
"Trhde",0.499097963736143,7.80001469708114,4.63810087426405,5.96965092929718e-06,0.00230898652795708,3.63843400483207,"Glutamatergic","Trhde"
"B230209E15Rik",0.495436878230329,8.31523394588686,3.86275988809962,0.000146685278481398,0.00381738970046666,0.509013595052145,"Glutamatergic","B230209E15Rik"
"Chchd7",0.491692038067367,7.83640780170643,4.98166402730762,1.25733376965842e-06,0.00155943935419724,4.9748681120021,"Glutamatergic","Chchd7"
"Kcnb2",0.485513247527584,7.83847804649598,4.2646595244811,2.94988141658412e-05,0.00381738970046666,2.19337751494072,"Glutamatergic","Kcnb2"
"Khdrbs2",0.481645851197471,8.1803512982558,4.24605353327407,3.18577498989466e-05,0.00381738970046666,1.82230860613787,"Glutamatergic","Khdrbs2"
"Selenow",-0.474407784382665,9.22333179108136,-3.32550344193949,0.00103078308783434,0.00725031921423037,-1.293677943402,"Glutamatergic","Selenow"
"Rplp1",-0.474040750313801,8.76727159518278,-3.34328913590968,0.000969877883600208,0.00692867834866741,-1.1220961498245,"Glutamatergic","Rplp1"
"Cep19",0.472405966840276,7.98191713735086,4.73264115781545,3.92082430883779e-06,0.00228962238898757,3.79149185097421,"Glutamatergic","Cep19"
"Rfx7",0.470911155980895,7.93875459701094,3.37316787905141,0.000875056113728941,0.0064659350766991,-0.741038620252291,"Glutamatergic","Rfx7"
"Cadps",0.461289280121747,8.86020962790216,3.06853499644408,0.00241558420973973,0.0120370942733227,-1.79281037852586,"Glutamatergic","Cadps"
"Usp4",0.460944357201989,7.84903040798527,4.41422765192848,1.57470285288203e-05,0.00348439186803992,2.74461552991484,"Glutamatergic","Usp4"
"Tmem201",0.460275627434063,7.76715088387648,4.00051212268815,8.58232941933488e-05,0.00381738970046666,1.2801293245777,"Glutamatergic","Tmem201"
