"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type","SYMBOL"
"Slc1a2",-0.592413453314988,9.03659008064548,-3.60382459747493,0.000388418742044311,0.0341808492998993,-0.794225193294233,"Glutamatergic","Slc1a2"
"R3hdm2",-0.544260706688489,8.87319230639138,-3.42530664719921,0.000733566919678592,0.0416292663369128,-1.14055754701194,"Glutamatergic","R3hdm2"
"Zfp365",-0.535244494893906,7.96795249164964,-4.79482311080543,3.0122254586578e-06,0.00612415041678479,3.91270950901198,"Glutamatergic","Zfp365"
"Fryl",0.53501178708937,8.01586822083352,4.22627351963976,3.49229274866823e-05,0.0160738389427743,1.80719356477783,"Glutamatergic","Fryl"
"Polr2l",-0.508595441734,7.95780911024896,-3.81948977079014,0.000174312289104258,0.0250134640779519,0.554565344282382,"Glutamatergic","Polr2l"
"Slc2a13",-0.505512218249663,7.92875659658085,-4.28760999785003,2.71130482564301e-05,0.0145924049628863,2.12997141720081,"Glutamatergic","Slc2a13"
"Cit",-0.485821755227921,8.62700508600404,-3.20218897533156,0.00156744571585406,0.047475119342794,-1.55198770327333,"Glutamatergic","Cit"
"Kat6b",-0.471635243855831,8.07156157125768,-3.3492609485107,0.000954465123258127,0.0422486469828881,-0.893156112603388,"Glutamatergic","Kat6b"
"Adam22",-0.460864526258392,8.56339553340711,-3.16317169023601,0.00178273024010207,0.0494447515620526,-1.61145664022303,"Glutamatergic","Adam22"
"Rtn4r",-0.459481284275996,7.90591623872894,-3.59451594959734,0.000401760290889937,0.0345029801622105,-0.104136758564925,"Glutamatergic","Rtn4r"
"Fhod3",-0.452335988789966,7.80693307269501,-4.44367867948743,1.40628186607785e-05,0.0106905414187628,2.77146992550912,"Glutamatergic","Fhod3"
"Senp7",-0.449536630292528,8.04413655486918,-3.90923152061273,0.000123582378909817,0.024373639723038,0.754320739612847,"Glutamatergic","Senp7"
"Pck2",-0.448000162230968,7.65909536785054,-4.69603157848357,4.68790306310282e-06,0.00701885217390603,3.86568310242621,"Glutamatergic","Pck2"
"Tfdp2",-0.444955336024011,8.07484810975545,-3.27479586087914,0.00122962648017535,0.0453705400035905,-1.09385538328365,"Glutamatergic","Tfdp2"
"Rmnd5a",-0.444728297812208,7.74527991509671,-4.87165009637618,2.12554256187679e-06,0.00612415041678479,4.51485473189771,"Glutamatergic","Rmnd5a"
"Abca8b",-0.434010289678012,7.81328747416893,-3.94854951554785,0.000106090026647529,0.0233964759218012,1.06269072652488,"Glutamatergic","Abca8b"
"Tmem201",-0.432920439613666,7.77895570720664,-3.71158614838205,0.000261444795489814,0.030097582783719,0.296743969754306,"Glutamatergic","Tmem201"
"Arhgef4",-0.423682064841442,7.86110955602738,-3.70224132256363,0.000270671996873253,0.030097582783719,0.246295110724417,"Glutamatergic","Arhgef4"
