"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Experiment_name"
"1","Fanconi anemia pathway","49/51",0.000906645677225937,0.157461705008953,0,0,6.25256402189643,43.8039556548658,"MUS81;WDR48;BRCA1;BRCA2;EME1;EME2;REV3L;POLI;POLK;POLH;FAAP100;TOP3B;RMI2;RMI1;SLX1B;TOP3A;REV1;RAD51C;FANCD2;FAN1;TELO2;BLM;FAAP24;BRIP1;SLX4;PMS2;HES1;ATRIP;FANCI;CENPX;POLN;FANCM;FANCL;FANCA;RPA1;RPA2;FANCC;FANCB;MLH1;FANCE;PALB2;FANCG;FANCF;RAD51;ERCC4;UBE2T;ERCC1;ATR;CENPS","1_AllcellsVsAllcells_from_MUTPCB_WTPCB"
"2","Homologous recombination","40/41",0.00103935118817791,0.157461705008953,0,0,10.2050056596655,70.0998025741377,"MUS81;BLM;ABRAXAS1;BRCC3;BRCA1;BRCA2;RAD54B;BABAM1;POLD3;POLD4;BABAM2;BRIP1;EME1;POLD1;POLD2;UIMC1;GM5136;RBBP8;RAD54L;NBN;TOPBP1;TOP3B;BARD1;XRCC2;TOP3A;XRCC3;RPA1;RPA2;MRE11A;PALB2;RAD51B;RAD52;SEM1;RAD50;RAD51D;RAD51C;RAD51;ATM;SSBP1;SYCP3","1_AllcellsVsAllcells_from_MUTPCB_WTPCB"
"3","DNA replication","33/35",0.0172421084236121,0.999997655914454,0,0,4.20667546671695,17.0807881059414,"RNASEH2C;PRIM2;FEN1;RNASEH2B;RNASEH2A;PCNA;MCM7;PRIM1;POLD3;POLD4;RNASEH1;POLD1;POLD2;POLE;RFC5;RFC3;RFC4;LIG1;RFC1;RFC2;RPA1;RPA2;POLA1;POLA2;POLE2;POLE3;MCM3;MCM4;MCM5;MCM6;SSBP1;DNA2;MCM2","1_AllcellsVsAllcells_from_MUTPCB_WTPCB"
"4","Mismatch repair","21/22",0.0448780817915561,0.999997655914454,0,0,5.3512342189561,16.6091915892881,"RFC5;RFC3;PCNA;RFC4;LIG1;RFC1;RFC2;RPA1;RPA2;MLH1;MLH3;POLD3;MSH6;POLD4;MSH2;EXO1;MSH3;POLD1;POLD2;PMS2;SSBP1","1_AllcellsVsAllcells_from_MUTPCB_WTPCB"
"5","Other types of O-glycan biosynthesis","21/22",0.0448780817915561,0.999997655914454,0,0,5.3512342189561,16.6091915892881,"B4GALT2;POMT2;B4GALT3;ST6GAL1;COLGALT2;POGLUT1;B4GALT1;ST6GAL2;POMT1;GXYLT1;B3GLCT;PLOD3;GXYLT2;RFNG;LFNG;POFUT1;MFNG;EOGT;OGT;COLGALT1;ST3GAL3","1_AllcellsVsAllcells_from_MUTPCB_WTPCB"
"6","Small cell lung cancer","80/92",0.0492732041941187,0.999997655914454,0,0,1.70050014710209,5.11914291125918,"RB1;ITGB1;CDKN1B;LAMC3;ITGA2B;PTEN;PIK3CD;LAMC2;PIK3CB;LAMC1;CKS1B;CASP9;IKBKB;MYC;AKT2;CASP3;AKT3;AKT1;ITGAV;POLK;IKBKG;SKP2;CHUK;ITGA3;ITGA2;TRAF2;TRAF1;DDB2;TRAF4;CCNE2;COL4A2;TRAF3;COL4A1;CCNE1;COL4A4;TRAF6;COL4A3;TRAF5;CKS2;RARB;COL4A5;ITGA6;BIRC2;BIRC3;LAMA5;LAMA2;MAX;LAMA1;LAMA4;LAMA3;PIK3R3;XIAP;PIK3R2;PIK3R1;PTGS2;FHIT;RELA;RXRA;E2F1;E2F2;E2F3;BAK1;RXRG;ZBTB17;CDKN2B;LAMB3;LAMB2;GADD45A;LAMB1;NFKB1;PTK2;GADD45G;NFKBIA;CDK6;CDK4;TRP53;CDK2;BCL2;BAX;BCL2L1","1_AllcellsVsAllcells_from_MUTPCB_WTPCB"
"7","Fanconi anemia pathway","49/51",0.000906645677225937,0.157461705008953,0,0,6.25256402189643,43.8039556548658,"MUS81;WDR48;BRCA1;BRCA2;EME1;EME2;REV3L;POLI;POLK;POLH;FAAP100;TOP3B;RMI2;RMI1;SLX1B;TOP3A;REV1;RAD51C;FANCD2;FAN1;TELO2;BLM;FAAP24;BRIP1;SLX4;PMS2;HES1;ATRIP;FANCI;CENPX;POLN;FANCM;FANCL;FANCA;RPA1;RPA2;FANCC;FANCB;MLH1;FANCE;PALB2;FANCG;FANCF;RAD51;ERCC4;UBE2T;ERCC1;ATR;CENPS","10_MUTcellsVsMUTcells_from_HETPCB_HETVEHICLE"
"8","Homologous recombination","40/41",0.00103935118817791,0.157461705008953,0,0,10.2050056596655,70.0998025741377,"MUS81;BLM;ABRAXAS1;BRCC3;BRCA1;BRCA2;RAD54B;BABAM1;POLD3;POLD4;BABAM2;BRIP1;EME1;POLD1;POLD2;UIMC1;GM5136;RBBP8;RAD54L;NBN;TOPBP1;TOP3B;BARD1;XRCC2;TOP3A;XRCC3;RPA1;RPA2;MRE11A;PALB2;RAD51B;RAD52;SEM1;RAD50;RAD51D;RAD51C;RAD51;ATM;SSBP1;SYCP3","10_MUTcellsVsMUTcells_from_HETPCB_HETVEHICLE"
"9","DNA replication","33/35",0.0172421084236121,0.999997655914454,0,0,4.20667546671695,17.0807881059414,"RNASEH2C;PRIM2;FEN1;RNASEH2B;RNASEH2A;PCNA;MCM7;PRIM1;POLD3;POLD4;RNASEH1;POLD1;POLD2;POLE;RFC5;RFC3;RFC4;LIG1;RFC1;RFC2;RPA1;RPA2;POLA1;POLA2;POLE2;POLE3;MCM3;MCM4;MCM5;MCM6;SSBP1;DNA2;MCM2","10_MUTcellsVsMUTcells_from_HETPCB_HETVEHICLE"
"10","Mismatch repair","21/22",0.0448780817915561,0.999997655914454,0,0,5.3512342189561,16.6091915892881,"RFC5;RFC3;PCNA;RFC4;LIG1;RFC1;RFC2;RPA1;RPA2;MLH1;MLH3;POLD3;MSH6;POLD4;MSH2;EXO1;MSH3;POLD1;POLD2;PMS2;SSBP1","10_MUTcellsVsMUTcells_from_HETPCB_HETVEHICLE"
