"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Directory","DEG_test"
"Circadian entrainment","8/99",5.4732299710391e-08,4.69306738391586e-06,0,0,17.7645211930926,297.037215826299,"GRIA2;GRIN2A;GNG3;KCNJ6;CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Aldosterone synthesis and secretion","8/102",6.91966408359278e-08,4.69306738391586e-06,0,0,17.1949630916196,283.48155246463,"CAMK2A;GNAS;ATP2B2;ATP1A1;ATP2B1;ATP1B1;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Gastric acid secretion","7/74",1.29244533920516e-07,4.69306738391586e-06,0,0,20.9240162822252,331.887531649984,"CAMK2A;GNAS;ATP1A1;ATP1B1;CALM1;CALM2;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Synaptic vesicle cycle","7/77",1.70481200432035e-07,4.69306738391586e-06,0,0,20.0242424242424,312.070625628081,"SNAP25;ATP6V0B;RAB3A;ATP6V1G2;SYT1;CPLX2;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"cAMP signaling pathway","10/211",1.82112289892811e-07,4.69306738391586e-06,0,0,10.2057421227197,158.379262048317,"GRIA2;GRIN2A;CAMK2A;GNAS;ATP2B2;ATP1A1;ATP2B1;ATP1B1;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Salivary secretion","7/78",1.86479498698643e-07,4.69306738391586e-06,0,0,19.7412149665671,305.88903087072,"GNAS;ATP2B2;ATP1A1;ATP2B1;ATP1B1;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Insulin secretion","7/86",3.66349690614155e-07,7.90268618324821e-06,0,0,17.734944380514,262.826156569423,"SNAP25;RAB3A;CAMK2A;GNAS;CCK;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Dopaminergic synapse","8/135",6.05242481387419e-07,1.14239518361875e-05,0,0,12.7057689217419,181.916582952285,"GRIA2;GRIN2A;GNG3;KCNJ6;CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Adrenergic signaling in cardiomyocytes","8/148",1.21604373774752e-06,2.04025115999862e-05,0,0,11.5183673469388,156.879101346992,"CAMK2A;GNAS;ATP2B2;ATP1A1;ATP2B1;ATP1B1;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Amphetamine addiction","6/68",1.61106087435555e-06,2.43270192027688e-05,0,0,19.1922580645161,255.998192504228,"GRIA2;GRIN2A;CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Alzheimer disease","8/175",4.25749244429492e-06,5.84437599171394e-05,0,0,9.64291824514237,119.252332561405,"RTN3;GRIN2A;COX4I1;ATP5G3;CALM1;CALM2;GAPDH;RTN4","L2_3_IT","VehicleVsPCB_in_HETs"
"Pancreatic secretion","6/105",2.02201080669196e-05,0.000254436359842072,0,0,11.9969696969697,129.673241958571,"GNAS;CCK;ATP2B2;ATP1A1;ATP2B1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Long-term potentiation","5/67",2.82864137341932e-05,0.000328557574912552,0,0,15.8351964228681,165.844054063966,"GRIA2;GRIN2A;CAMK2A;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Nicotine addiction","4/40",5.88124019216195e-05,0.000634333763583181,0,0,21.6318082788671,210.718858122582,"GABRB3;GRIA2;GABRA1;GRIN2A","L2_3_IT","VehicleVsPCB_in_HETs"
"Calcium signaling pathway","7/189",6.67077645327837e-05,0.000671524829630023,0,0,7.65811965811966,73.6342694446129,"GRIN2A;CAMK2A;GNAS;ATP2B2;ATP2B1;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Estrogen signaling pathway","6/134",7.96795633849744e-05,0.000751975879445696,0,0,9.2653125,87.4413628541697,"HSPA8;KCNJ6;HSP90AB1;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Mineral absorption","4/44",8.59501213637249e-05,0.000763439313289557,0,0,19.4647058823529,182.223582101693,"FTH1;ATP1A1;ATP2B1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Morphine addiction","5/92",0.000129705137420037,0.00108808198613475,0,0,11.2706270627063,100.874894448947,"GABRB3;GABRA1;GNG3;KCNJ6;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Oxytocin signaling pathway","6/154",0.000171110918946009,0.00135988151372881,0,0,8.00513513513513,69.4301265501646,"KCNJ6;CAMK2A;GNAS;CALM1;CALM2;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Endocrine and other factor-regulated calcium reabsorption","4/55",0.000206496850496816,0.00148898988078,0,0,15.2579777008843,129.467379902198,"GNAS;ATP1A1;ATP2B1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Proximal tubule bicarbonate reclamation","3/22",0.000207078062889934,0.00148898988078,0,0,30.4675523760858,258.438414768821,"MDH1;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"cGMP-PKG signaling pathway","6/172",0.000310850103535583,0.00213356207426695,0,0,7.13060240963855,57.5881693565472,"ATP2B2;ATP1A1;ATP2B1;ATP1B1;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Necroptosis","6/176",0.000351512004520768,0.002307752725332,0,0,6.96141176470588,55.3659643386449,"HSP90AB1;H2AFZ;FTH1;CAMK2A;HMGB1;PPIA","L2_3_IT","VehicleVsPCB_in_HETs"
"Alcoholism","6/199",0.000672757107110442,0.00423276346556986,0,0,6.12466321243523,44.7353130615192,"GRIN2A;GNG3;H2AFZ;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Oxidative phosphorylation","5/134",0.000738796363725741,0.00446233003690347,0,0,7.58500268631514,54.691572605699,"ATP6V0B;ATP6V1G2;COX4I1;ATP5G3;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Retrograde endocannabinoid signaling","5/150",0.00122469271260931,0.00711263844630792,0,0,6.74257425742574,45.2094007758305,"GABRB3;GRIA2;GABRA1;GNG3;KCNJ6","L2_3_IT","VehicleVsPCB_in_HETs"
"GABAergic synapse","4/90",0.00134256422188029,0.00724025705371154,0,0,9.03237574099407,59.7326714619636,"GABRB3;GABRA1;GNG3;KCNJ6","L2_3_IT","VehicleVsPCB_in_HETs"
"GnRH signaling pathway","4/90",0.00134256422188029,0.00724025705371154,0,0,9.03237574099407,59.7326714619636,"CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Melanogenesis","4/100",0.00197877767422309,0.0103032906485409,0,0,8.08741830065359,50.3464107348811,"CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Cocaine addiction","3/48",0.00210459423843937,0.0103617181257301,0,0,12.8472491909385,79.1857238213709,"GRIA2;GRIN2A;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Glucagon signaling pathway","4/102",0.00212724014501743,0.0103617181257301,0,0,7.92156862745098,48.7408560348136,"CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Tuberculosis","5/178",0.00259261139209574,0.0122338850064518,0,0,5.64327820065244,33.6062276145189,"ATP6V0B;CAMK2A;CALM1;CALM2;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Glutamatergic synapse","4/114",0.0031825907702725,0.0145627638276106,0,0,7.05311942959002,40.5558578354638,"GRIA2;GRIN2A;GNG3;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Oocyte meiosis","4/116",0.00338765191696947,0.0150451599841879,0,0,6.92647058823529,39.3951205080315,"CAMK2A;CALM1;CALM2;YWHAH","L2_3_IT","VehicleVsPCB_in_HETs"
"Inflammatory mediator regulation of TRP channels","4/127",0.00467791231012912,0.0201818502522713,0,0,6.30352303523035,33.8177918873297,"CAMK2A;GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Rap1 signaling pathway","5/209",0.00513124614298385,0.0215227268775156,0,0,4.7781984080761,25.1926054747666,"GRIN2A;GNAS;CALM1;CALM2;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Serotonergic synapse","4/132",0.00536045625876178,0.0218764566235954,0,0,6.05575980392157,31.663788739331,"GABRB3;GNG3;KCNJ6;GNAS","L2_3_IT","VehicleVsPCB_in_HETs"
"Bile secretion","3/72",0.00662119669041707,0.0263105447434994,0,0,8.36850991979738,41.9888240929174,"GNAS;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Thyroid hormone synthesis","3/73",0.00687870842213864,0.0266329479934086,0,0,8.24854368932039,41.0721746422415,"GNAS;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Fluid shear stress and atherosclerosis","4/143",0.00708972182439031,0.0267636998870734,0,0,5.57342361404994,27.5834819396163,"HSP90AB1;CALM1;CALM2;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Glioma","3/75",0.00741141985329654,0.0272957170206775,0,0,8.01860841423948,39.3291352671485,"CAMK2A;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Renin secretion","3/76",0.00768668238386833,0.027635453332479,0,0,7.9083654741322,38.5000268171575,"GNAS;CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Cardiac muscle contraction","3/78",0.00825517065778862,0.0289890876587461,0,0,7.69669902912621,36.9204150914715,"COX4I1;ATP1A1;ATP1B1","L2_3_IT","VehicleVsPCB_in_HETs"
"Collecting duct acid secretion","2/27",0.00895843965880029,0.0300605419661965,0,0,15.2838461538462,72.0657679929601,"ATP6V1G2;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Phototransduction","2/27",0.00895843965880029,0.0300605419661965,0,0,15.2838461538462,72.0657679929601,"CALM1;CALM2","L2_3_IT","VehicleVsPCB_in_HETs"
"Rheumatoid arthritis","3/84",0.0101063032655586,0.0331750389804208,0,0,7.12441567781374,32.7338115198291,"ATP6V0B;ATP6V1G2;ATP6V0C","L2_3_IT","VehicleVsPCB_in_HETs"
"Phagosome","4/180",0.0154866621218345,0.049755020859511,0,0,4.39349376114082,18.311098441574,"ATP6V0B;ATP6V1G2;ATP6V0C;ACTB","L2_3_IT","VehicleVsPCB_in_HETs"
"Adrenergic signaling in cardiomyocytes","8/148",4.97108165937234e-09,5.61732227509074e-07,0,0,25.151746031746,480.892037305973,"CACNA2D1;CAMK2A;CACNA2D3;ATP2B2;ATP1A1;ATP1B1;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Gastric acid secretion","6/74",4.17383882823862e-08,2.35821893795482e-06,0,0,37.319774718398,634.131810630148,"CAMK2A;ATP1A1;ATP1B1;CALM1;CALM2;ACTB","L4","VehicleVsPCB_in_HETs"
"Oxytocin signaling pathway","7/154",1.60296844365114e-07,6.03784780441928e-06,0,0,20.4968944099379,320.699297695621,"KCNJ6;CACNA2D1;CAMK2A;CACNA2D3;CALM1;CALM2;ACTB","L4","VehicleVsPCB_in_HETs"
"Aldosterone synthesis and secretion","6/102",2.86736151409062e-07,8.10029627730601e-06,0,0,26.3976063829787,397.672110025071,"CAMK2A;ATP2B2;ATP1A1;ATP1B1;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"cAMP signaling pathway","7/211",1.34488460568394e-06,2.81861704656216e-05,0,0,14.7273017902813,199.101372878394,"GRIA2;CAMK2A;ATP2B2;ATP1A1;ATP1B1;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Dopaminergic synapse","6/135",1.49661082118345e-06,2.81861704656216e-05,0,0,19.6120732310737,263.043156079953,"GRIA2;KCNJ6;CAMK2A;CALM1;CALM2;SCN1A","L4","VehicleVsPCB_in_HETs"
"Salivary secretion","5/78",1.96383550530542e-06,3.17019160142161e-05,0,0,28.3590182648402,372.654830379708,"ATP2B2;ATP1A1;ATP1B1;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Circadian entrainment","5/99",6.37981070669735e-06,9.01148262321001e-05,0,0,22.0002216312057,263.174838113535,"GRIA2;KCNJ6;CAMK2A;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Proximal tubule bicarbonate reclamation","3/22",2.61123067959113e-05,0.000324228254249229,0,0,62.9305263157895,664.112378288391,"MDH1;ATP1A1;ATP1B1","L4","VehicleVsPCB_in_HETs"
"Long-term potentiation","4/67",2.97636298653183e-05,0.000324228254249229,0,0,25.7648202137998,268.52671172085,"GRIA2;CAMK2A;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Amphetamine addiction","4/68",3.15620424490399e-05,0.000324228254249229,0,0,25.3609693877551,262.829809921271,"GRIA2;CAMK2A;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Cardiac muscle contraction","4/78",5.42111612508529e-05,0.000510488435112198,0,0,21.9227799227799,215.339218594804,"CACNA2D1;CACNA2D3;ATP1A1;ATP1B1","L4","VehicleVsPCB_in_HETs"
"cGMP-PKG signaling pathway","5/172",9.12035408187849e-05,0.000792769239424823,0,0,12.3378243512974,114.771584975857,"ATP2B2;ATP1A1;ATP1B1;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Oocyte meiosis","4/116",0.000252648169449339,0.00203923165341252,0,0,14.4569970845481,119.754718543919,"CAMK2A;CALM1;CALM2;YWHAH","L4","VehicleVsPCB_in_HETs"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)","3/72",0.000921021577096881,0.00693836254746317,0,0,17.2852173913043,120.824137892321,"CACNA2D1;CACNA2D3;ACTB","L4","VehicleVsPCB_in_HETs"
"Glioma","3/75",0.0010369709188303,0.007323607114239,0,0,16.5625,113.808413707925,"CAMK2A;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Alzheimer disease","4/175",0.00118733314080134,0.00789227323003245,0,0,9.44074471894021,63.5932864049118,"CALM1;GAPDH;CALM2;RTN4","L4","VehicleVsPCB_in_HETs"
"Tuberculosis","4/178",0.00126420584043661,0.00793640333162981,0,0,9.27656579873329,61.9054099604839,"CAMK2A;CALM1;ATP6V0C;CALM2","L4","VehicleVsPCB_in_HETs"
"Hypertrophic cardiomyopathy (HCM)","3/86",0.0015397218329484,0.00848024201831079,0,0,14.3595180722892,92.9944433202065,"CACNA2D1;CACNA2D3;ACTB","L4","VehicleVsPCB_in_HETs"
"Insulin secretion","3/86",0.0015397218329484,0.00848024201831079,0,0,14.3595180722892,92.9944433202065,"CAMK2A;ATP1A1;ATP1B1","L4","VehicleVsPCB_in_HETs"
"Calcium signaling pathway","4/189",0.00157597418039404,0.00848024201831079,0,0,8.72013237727523,56.269982383217,"CAMK2A;ATP2B2;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Dilated cardiomyopathy (DCM)","3/90",0.00175438436543517,0.00861936666496412,0,0,13.6965517241379,86.9133491258379,"CACNA2D1;CACNA2D3;ACTB","L4","VehicleVsPCB_in_HETs"
"GnRH signaling pathway","3/90",0.00175438436543517,0.00861936666496412,0,0,13.6965517241379,86.9133491258379,"CAMK2A;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Phototransduction","2/27",0.00231795036875322,0.0107133257000641,0,0,31.2501960784314,189.59718791978,"CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Melanogenesis","3/100",0.00237020480089914,0.0107133257000641,0,0,12.2783505154639,74.219914290735,"CAMK2A;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
"Glucagon signaling pathway","3/102",0.00250743709846398,0.0108977073894781,0,0,12.0290909090909,72.0361402237609,"CAMK2A;CALM1;CALM2","L4","VehicleVsPCB_in_HETs"
