"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Cell_type"
"A830036E02Rik",0.378688642840316,8.92854928920043,9.4633571512723,4.81682558885351e-21,2.11952367973527e-17,34.7364979817914,"L2_3_IT"
"Ttr",0.271828254401345,7.64091107630645,15.2997282429944,1.81180892706799e-51,3.18896489253237e-47,105.960255732803,"L2_3_IT"
"Lmo4",-0.226572123426013,8.56218179090174,-6.60968585462633,4.33167265877101e-11,5.83562991732554e-08,14.4783866834663,"L2_3_IT"
"Cox17",0.205186758922286,7.92248382554505,7.30174262547995,3.37852653837677e-13,6.60727173355218e-10,19.4075513976938,"L2_3_IT"
"Ociad2",0.204660393823605,8.53236683829279,5.65259210043213,1.68487074594075e-08,9.56626129009777e-06,8.95839003381909,"L2_3_IT"
"AC149090.1",-0.201207872834685,9.93179312479984,-7.4922715288843,8.20037342204244e-14,2.47257971894708e-10,18.3936353687853,"L2_3_IT"
"Slc12a6",0.198115543960284,8.06108527946283,6.43820074311397,1.34427693181059e-10,1.57737455178655e-07,13.6714427282736,"L2_3_IT"
"Lamp5",0.193403947164503,8.76035702206402,5.32019451715309,1.09036608824009e-07,4.17207250415517e-05,7.18170323349915,"L2_3_IT"
"Pde1a",-0.184078684523183,8.77126716651016,-5.15247634872451,2.68825838981822e-07,8.44929212842688e-05,6.39627748366,"L2_3_IT"
"Slit2",0.178761132218157,7.79230457661505,7.32198602678247,2.91141024921724e-13,6.57891238570779e-10,19.4938846885099,"L2_3_IT"
"Ptn",0.176224405295324,8.85783654313495,4.82035921855773,1.48346105766375e-06,0.00029337525928022,4.81747581480283,"L2_3_IT"
"Selenow",0.173761859202449,9.21813478868428,5.04797882226656,4.65347061221311e-07,0.000120449612125828,5.70153561357115,"L2_3_IT"
"Cabp1",0.172593726817535,8.04257955658755,5.54784244954535,3.06947565102032e-08,1.50071780371135e-05,8.50327331647465,"L2_3_IT"
"9530059O14Rik",0.167035462549277,8.95552288987915,4.44342124502661,9.08120462753611e-06,0.00122952525114818,3.19576076422878,"L2_3_IT"
"Meis2",-0.163489813567603,8.3280762136073,-5.25529063953044,1.55098235937696e-07,5.45976810147878e-05,7.00977463029679,"L2_3_IT"
"Lsamp",-0.162260095612522,8.61862441681465,-4.64755634267643,3.46150361343707e-06,0.000548882208109062,4.12714951854927,"L2_3_IT"
